Taxa	Control	S2-1	S2-2	S2-3	S3-1	S3-2	S3-3	S4-1	S4-2	S4-3
Abscondita	0	0	0	0	0	0	0	0	203	0
Acinetobacter	21	0	0	0	36	0	0	0	0	0
Actinomadura	5	0	0	0	0	0	0	0	0	0
Actinomyces	195	0	32	0	42	0	0	200	0	0
Afipia	6	0	0	0	0	0	0	0	0	0
Aggregatibacter	0	0	0	0	0	0	0	20	0	0
Algibacter	0	0	0	674	0	0	110	0	0	0
Alkanindiges	27	0	0	0	0	0	0	0	0	0
Alloprevotella	20	0	0	0	49	0	0	278	0	0
Alteromonas	0	115	0	0	0	0	0	0	0	0
Amoebophrya	0	0	45	0	36	0	0	23	0	0
Aphanomyces	0	0	52	656	0	0	206	23	214	175
Aquiluna	6	210	0	0	56	36	236	28	270	216
Aquimarina	0	0	0	1189	0	19	127	0	0	217
Arachnia	12	0	0	0	0	0	0	0	0	0
Arthrospira	5	0	0	0	0	0	0	0	0	0
Astrephomene	0	0	0	0	0	0	137	0	0	158
Aureispira	0	0	33	0	0	0	0	0	0	0
Aureobasidium	10	0	0	0	0	20	0	0	224	150
Aureococcus	0	0	54	1070	43	0	461	22	252	430
Bacillus	22	0	0	0	0	0	0	20	0	0
Bathycoccus	0	0	32	0	0	0	131	0	0	146
Bordetella	7	0	0	0	0	0	0	0	0	0
Bosea	3	0	0	0	0	0	0	0	0	0
Bradyrhizobium	107	0	0	0	0	0	0	0	0	0
Brevundimonas	65	0	62	0	264	0	0	199	0	0
Burkholderia	3681	830	653	856	1766	0	0	0	0	0
Callithrix	5	0	0	0	0	0	0	0	0	0
Campylobacter	6	0	0	0	0	0	0	43	0	0
Candidatus Endolissoclinum	0	587	161	0	220	109	210	120	1293	207
Candidatus Pelagibacter	652	66212	10681	60416	19164	11064	22370	5035	119678	21144
Candidatus Pseudothioglobus	10	457	196	0	169	82	117	72	698	126
Candidatus Puniceispirillum	0	135	56	0	68	18	0	29	271	0
Candidatus Thioglobus	12	962	371	863	333	149	228	129	1424	229
Capnocytophaga	0	0	0	0	0	0	0	49	0	0
Caulobacter	51	0	0	0	0	0	0	0	0	0
Cellulophaga	0	0	0	753	0	0	144	0	0	0
Cellvibrio	36	0	0	0	0	0	0	0	0	0
Chaetoceros	22	190	94	6033	74	22	1303	71	652	1062
Chara	0	0	0	0	0	0	121	0	0	143
Chlamydia	11	0	0	0	0	0	0	0	0	0
Chlamydomonas	0	0	0	906	0	0	339	0	0	454
Chlorella	0	0	0	0	0	0	0	0	0	123
Chlorocebus	11	0	0	0	0	0	0	0	0	0
Chryseobacterium	37	0	0	0	38	0	0	0	0	0
Chrysochromulina	9	112	92	5689	39	18	2267	28	289	2688
Citrobacter	5	0	0	0	0	0	0	0	0	0
Clostridioides	7	0	0	0	0	0	0	0	0	0
Clostridium	8	0	0	0	0	0	0	0	0	0
Colobus	5	0	0	0	0	0	0	0	0	0
Colwellia	86	3351	128	10363	254	193	1361	87	2273	1731
Corynebacterium	43	0	0	0	0	0	0	22	0	0
Crocuta	8	0	0	0	0	0	0	0	0	0
Cronobacter	7	0	0	0	0	0	0	0	0	0
Cutibacterium	272	0	57	0	105	0	0	68	0	0
Daphnia	0	0	0	0	0	0	107	0	0	0
Delftia	14	0	0	0	0	0	0	0	0	0
Dermacoccus	40	0	0	0	0	0	0	0	0	0
Diacronema	0	0	0	0	0	0	121	0	0	126
Durinskia	0	0	0	0	0	0	148	0	0	119
Dyadobacter	7	0	0	0	0	0	0	0	0	0
Ectocarpus	0	0	45	716	0	0	224	0	195	209
Emiliania	0	0	74	1969	47	21	685	23	240	806
Enterobacter	8	0	0	0	0	0	0	0	0	0
Enterococcus	26	0	0	0	0	0	0	0	0	0
Equus	5	0	0	0	0	0	0	0	0	0
Escherichia	41	163	48	0	71	0	0	35	211	0
Fistulifera	23	0	0	11005	0	0	2588	0	0	1643
Flavobacterium	16	656	117	2868	188	78	484	74	819	521
Formosa	0	204	42	709	70	38	147	17	256	0
Fragilariopsis	26	0	29	8638	0	0	1811	30	0	1256
Fusobacterium	13	0	0	0	43	0	0	80	0	0
Gemella	23	0	0	0	0	0	0	0	0	0
Gemmata	8	0	0	0	0	0	0	0	0	0
Glaciecola	11	253	0	1581	50	0	145	42	287	259
Gonium	0	0	0	0	0	0	0	0	0	127
Gordonia	8	0	0	0	0	0	0	0	0	0
Granulicatella	8	0	0	0	0	0	0	23	0	0
Guillardia	12	331	126	4453	114	71	2046	64	1612	2324
Haemophilus	61	0	0	0	165	0	0	740	0	0
Halioglobus	11	412	91	1156	233	67	295	134	614	272
Halopseudomonas	6	0	0	0	0	0	0	0	0	0
Halteria	26	394	311	4568	98	48	477	73	775	503
Heliosvirus	0	0	0	0	0	0	111	0	0	164
Heterocapsa	0	112	0	1549	0	39	116	0	0	168
Homo	551	132	81	0	108	23	0	144	0	0
Hyphomicrobium	13	0	0	0	0	0	0	0	0	0
Hyphomonas	6	0	0	0	0	0	0	0	0	0
Ichthyophthirius	0	0	45	0	0	0	0	0	0	0
Kingella	0	0	0	0	0	0	0	30	0	0
Klebsiella	10	0	0	0	0	0	0	0	0	0
Kordia	8	0	0	2287	0	0	330	0	0	322
Lacinutrix	0	0	0	603	0	0	0	0	0	0
Lactobacillus	25	0	0	0	0	0	0	0	0	0
Lawsonella	9	0	0	0	0	0	0	0	0	0
Legionella	7	0	0	0	0	0	0	0	0	0
Leptotrichia	16	0	0	0	46	0	0	76	0	0
Lewinella	5	0	0	0	0	0	121	0	0	0
Lingulodinium	0	0	0	819	0	35	0	0	0	0
Listeria	8	0	0	0	0	0	0	0	0	0
Loktanella	0	0	0	0	0	0	0	18	0	0
Lupinus	15	269	36	1328	87	41	320	30	521	357
Lutibacter	0	124	0	1013	0	0	157	0	0	133
Macaca	219	0	0	0	0	0	0	47	0	0
Malassezia	79	0	0	0	0	0	0	0	0	0
Mandrillus	6	0	0	0	0	0	0	0	0	0
Marinobacter	21	0	0	0	0	0	0	21	0	0
Marinoscillum	0	0	0	0	0	0	0	22	0	0
Massilia	8	0	0	0	0	0	0	0	0	0
Mesorhizobium	19	125	0	0	0	21	0	0	220	0
Methanothrix	0	0	0	0	0	0	0	0	0	120
Methylobacterium	22	0	0	0	0	0	0	0	0	0
Methylophaga	0	151	0	0	68	43	0	34	234	0
Methylorubrum	6	0	0	0	0	0	0	0	0	0
Microbacterium	36	0	0	0	0	0	0	0	0	0
Micrococcus	7	0	0	0	0	0	0	0	0	0
Microlunatus	5	0	0	0	0	0	0	0	0	0
Micromonas	21	383	79	5432	80	77	1484	44	831	2497
Molossus	11	0	0	0	0	0	0	0	0	0
Moritella	0	0	0	814	0	0	0	0	0	0
Muntiacus	12	0	0	0	0	0	0	0	0	0
Mycobacterium	80	0	0	0	0	0	0	0	0	0
Mycobacteroides	20	0	0	0	0	0	0	0	0	0
Mycolicibacterium	7	0	0	0	0	0	0	0	0	0
Myotis	6	0	0	0	0	0	0	0	0	0
Mytilus	0	0	0	721	0	18	173	0	0	192
Neisseria	48	0	0	0	158	0	0	598	0	0
Nevskia	6	0	0	0	0	0	0	0	0	0
Nitriliruptor	5	0	0	0	0	0	0	0	0	0
Nitrosopumilus	0	355	0	828	0	0	0	0	0	0
Nitzschia	71	0	45	29812	37	0	7095	42	0	4858
Nonlabens	5	120	0	664	0	0	0	0	0	0
Novosphingobium	16	0	0	0	0	0	0	0	0	0
Nymphon	0	166	39	0	75	42	140	28	481	131
Octadecabacter	22	424	0	3141	106	37	508	75	410	611
Oleispira	20	1452	140	2485	340	179	493	174	2548	974
Ostreococcus	0	0	0	0	0	0	117	0	195	173
Paenibacillus	7	0	0	0	0	0	0	0	0	0
Pan	36	0	0	0	0	0	0	0	0	0
Papio	9	0	0	0	0	0	0	0	0	0
Paraburkholderia	11	0	0	0	0	0	0	0	0	0
Paraglaciecola	204	3650	375	13869	546	334	2355	320	4068	4036
Paramecium	0	158	83	0	41	23	112	0	323	0
Pelagivirus	0	132	36	0	47	29	0	36	192	0
Pelagomonas	0	0	0	0	0	0	212	0	0	204
Penaeus	0	0	0	0	0	0	129	0	0	0
Phaeodactylum	21	0	0	11088	0	0	2538	0	0	1721
Phenylobacterium	5	0	0	0	0	0	0	0	0	0
Phyllostomus	5	0	0	0	0	0	0	0	0	0
Phytophthora	5	123	73	1185	46	21	324	24	300	357
Planktomarina	9	360	75	0	229	82	119	91	908	133
Plasmodium	67	0	0	0	0	0	0	20	0	0
Polarella	3291	79802	6378	1450958	17159	28291	226100	1826	120963	278099
Polaribacter	563	9267	630	178194	1120	698	33082	417	7070	32820
Polaromonas	0	0	0	0	0	0	0	26	0	0
Pongo	7	0	0	0	0	0	0	0	0	0
Porphyromonas	13	0	0	0	39	0	0	196	0	0
Prasinovirus	766	67656	22845	51365	16995	9571	18014	14273	201916	24259
Prevotella	28	0	0	0	139	0	0	713	0	0
Pseudo-nitzschia	6	0	0	5184	0	0	1128	0	0	870
Pseudoalteromonas	5	216	53	0	64	38	108	36	303	0
Pseudocohnilembus	0	0	42	617	0	0	136	0	0	136
Pseudohongiella	0	226	34	0	154	37	0	74	557	120
Pseudomonas	122	285	91	0	132	45	197	54	464	191
Pseudonocardia	5	0	0	0	0	0	0	0	0	0
Psychrobacter	5	0	0	0	0	0	207	0	0	0
Psychroflexus	39	1199	80	4158	180	78	407	58	839	708
Psychromonas	0	0	0	1902	0	0	411	0	0	1403
Psychroserpens	5	0	0	0	0	0	0	0	0	0
Pycnococcus	0	0	0	0	0	0	118	0	0	160
Pyramimonas	0	0	0	1000	0	0	228	0	0	348
Reyranella	23	0	0	0	0	0	0	0	0	0
Rhinolophus	5	0	0	0	0	0	0	0	0	0
Rhinopithecus	5	0	0	0	0	0	0	0	0	0
Rhizobium	15	0	0	0	0	0	0	0	0	0
Rhizopus	9	0	0	0	0	0	0	0	0	0
Rhodobacter	0	123	0	0	62	29	0	24	251	0
Rhodococcus	7	0	0	0	0	0	0	0	0	0
Rhodopirellula	0	0	31	1124	0	0	459	0	223	521
Roseobacter	0	0	0	0	40	18	0	0	0	0
Roseomonas	5	0	0	0	0	0	0	0	0	0
Roseovarius	0	0	0	0	0	22	0	17	0	0
Rotaria	0	0	0	1054	0	26	183	0	178	233
Rothia	127	0	42	0	111	0	0	302	0	0
Rousettus	5	0	0	0	0	0	0	0	0	0
Rubritalea	25	0	0	4933	0	0	326	19	0	601
Ruegeria	5	113	0	0	58	18	0	24	210	0
Saccharomyces	22	0	0	0	0	0	0	0	0	0
Salmonella	5	0	0	0	0	0	0	0	0	0
Sarumanvirus	122	0	0	0	55	0	0	0	0	0
Scenedesmus	0	0	0	0	0	0	0	0	0	119
Sediminibacterium	5	0	0	0	0	0	0	0	0	0
Shewanella	6	111	0	0	36	19	0	22	0	0
Shigella	5	0	0	0	0	0	0	0	0	0
Siovirus	0	113	46	0	41	0	0	45	196	0
Sphingobacterium	18	0	0	0	0	0	0	0	0	0
Sphingobium	13	0	0	0	0	0	0	0	0	0
Sphingomonas	60	0	0	0	0	0	0	0	0	0
Staphylococcus	94	0	0	0	0	0	0	0	0	0
Stenotrophomonas	31	0	0	0	0	0	0	0	0	0
Stentor	0	0	38	0	0	0	0	0	0	0
Streptococcus	360	160	76	0	115	0	0	448	0	0
Streptomyces	8	0	0	0	0	0	0	19	0	121
Stylonychia	65	1787	1359	22605	416	251	2514	352	3980	2428
Sulfitobacter	6	205	31	0	90	37	0	39	328	0
Symbiodinium	102	3250	630	39596	992	939	5562	270	6740	7054
Synechococcus	0	0	0	0	0	0	148	0	0	158
Tenacibaculum	15	276	41	3281	86	27	392	27	250	418
Tetrahymena	0	127	80	636	40	29	139	0	273	134
Thalassiosira	15	0	46	8758	41	0	2103	31	0	1401
Trichinella	7	0	0	0	0	0	0	0	0	0
Tryblionella	0	0	0	941	0	0	154	0	0	129
Variovorax	10	0	0	0	0	0	0	0	0	0
Veillonella	40	0	0	0	151	0	0	630	0	0
Vertebrata	0	2	2	8	7	2	5	0	14	10
Vibrio	7	189	34	0	58	29	115	32	258	141
Volvox	0	0	0	0	0	0	201	0	0	285
Winogradskyella	6	166	34	1560	42	0	216	25	232	215
Xanthomonas	5	0	0	0	0	0	0	0	0	0
