	Polarella glacialis	Candidatus Pelagibacter ubique	Candidatus Pelagibacter giovannonii	Nitzschia inconspicua	Micromonas sp. RCC1109 virus MpV1	Micromonas pusilla virus 12T	uncultured Mediterranean phage uvMED	Stylonychia lemnae	uncultured bacterium	Pelagibacteraceae bacterium BACL20 MAG-120920-bin64	Prokaryotic dsDNA virus sp.	Pelagibacteraceae bacterium	uncultured virus	Phaeodactylum tricornutum	Fistulifera solaris	Ostreococcus tauri virus RT-2011	Virus NIOZ-UU157	Bacteroidota bacterium	Fragilariopsis cylindrus	Other
Control	3291	309	135	68	82	74	86	65	80	45	65	0	34	21	23	27	22	24	26	4136
S2-1	79798	33538	13823	0	6990	6434	8188	1785	1832	5491	4621	7166	3738	0	0	2848	2313	1972	0	60162
S2-2	6376	5303	2164	38	2085	2792	2123	1358	414	915	1507	1150	929	0	0	1010	627	505	29	14609
S2-3	1450927	30199	12197	28305	4716	4011	4593	22590	20413	4567	4535	0	2858	11081	10968	1833	1970	2986	8631	156785
S3-1	17159	9640	3981	35	1746	2226	3129	415	611	1600	2479	2173	1697	0	0	749	1007	748	0	22864
S3-2	28290	5587	2321	0	850	747	1147	251	285	844	802	1065	592	0	0	354	442	343	0	9230
S3-3	226098	11149	4305	6796	1119	1059	1524	2512	3107	1570	1511	0	824	2536	2582	465	651	825	1811	37089
S4-1	1826	2488	1056	41	1428	1893	1654	352	205	486	1294	631	845	0	0	625	382	373	30	11685
S4-2	120961	59664	23390	0	16717	16368	12387	3975	2854	8706	7344	11417	6615	0	0	6719	4509	3329	0	109718
S4-3	278093	10198	4019	4637	1499	1098	1595	2425	3090	1355	1417	0	853	1721	1634	538	632	687	1256	41609
