Taxa	Control	S2-1	S2-2	S2-3	S3-1	S3-2	S3-3	S4-1	S4-2	S4-3
Abscondita terminalis	0	0	0	0	0	0	0	0	203	0
Acinetobacter baumannii	6	0	0	0	0	0	0	0	0	0
Actinomyces naeslundii	6	0	0	0	0	0	0	0	0	0
Actinomyces oris	14	0	0	0	0	0	0	0	0	0
Actinomyces sp. ICM47	0	0	0	0	0	0	0	64	0	0
Alkanindiges hydrocarboniclasticus	12	0	0	0	0	0	0	0	0	0
Alkanindiges illinoisensis	7	0	0	0	0	0	0	0	0	0
Alloprevotella sp.	6	0	0	0	0	0	0	133	0	0
Alloprevotella sp. oral taxon 473	0	0	0	0	0	0	0	42	0	0
Alphaproteobacteria bacterium	17	1795	355	895	749	329	419	236	2826	415
Alphaproteobacteria bacterium TMED194	0	176	58	0	61	21	0	23	351	0
Alphaproteobacteria bacterium TMED199	5	506	102	0	222	101	123	77	766	120
Alteromonadaceae bacterium TMED7	0	0	29	0	0	0	0	0	248	0
Astrephomene gubernaculifera	0	0	0	0	0	0	137	0	0	158
Aureobasidium melanogenum	10	0	0	0	0	19	0	0	216	134
Aureococcus anophagefferens	0	0	54	1069	43	0	461	22	252	430
Bacteriophage sp.	0	0	0	0	0	0	0	17	0	0
Bacteroidetes bacterium 4572_77	0	264	53	0	67	23	0	28	449	0
Bacteroidetes bacterium SCGC AAA795-G10	0	0	0	0	0	18	0	0	0	0
Bacteroidota bacterium	24	1972	505	2986	748	343	825	373	3329	687
Bathycoccus prasinos	0	0	32	0	0	0	131	0	0	146
Bathycoccus sp. RCC1105 virus BpV	5	311	98	0	75	46	0	66	663	0
Bathycoccus sp. RCC716 virus 1	0	129	52	0	46	24	0	20	341	0
Bathycoccus sp. RCC716 virus 2	0	158	55	0	50	25	0	30	386	0
Bathycoccus sp. RCC716 virus 3	0	0	49	0	35	0	0	21	221	0
Betaproteobacteria bacterium TMED156	9	613	133	0	447	167	217	172	1261	184
Bordetella bronchiseptica	5	0	0	0	0	0	0	0	0	0
Brevundimonas diminuta	0	0	0	0	0	0	0	23	0	0
Brevundimonas sp. SH203	5	0	0	0	0	0	0	0	0	0
Burkholderia ambifaria	9	0	0	0	0	0	0	0	0	0
Burkholderia cenocepacia	772	161	129	0	382	0	0	0	0	0
Burkholderia cepacia	45	0	0	0	0	0	0	0	0	0
Burkholderia contaminans	19	0	0	0	0	0	0	0	0	0
Burkholderia diffusa	9	0	0	0	0	0	0	0	0	0
Burkholderia dolosa	8	0	0	0	0	0	0	0	0	0
Burkholderia lata	11	0	0	0	0	0	0	0	0	0
Burkholderia metallica	5	0	0	0	0	0	0	0	0	0
Burkholderia multivorans	41	0	0	0	0	0	0	0	0	0
Burkholderia pseudomallei	11	0	0	0	0	0	0	0	0	0
Burkholderia stabilis	9	0	0	0	0	0	0	0	0	0
Burkholderia ubonensis	7	0	0	0	0	0	0	0	0	0
