		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000033706	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Marinobacter hydrocarbonoclasticus VT8	3.3723454764281E-9	2.5843620932454E-9	0	2.6097841614337E-9	0	1.8236203151144E-9	1.1270499571307E-9	0	0	0	2.5637308982884E-9	0	0	5.3979312824401E-10	0	1.9903041769783E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9075869017455E-10	0	0	0	0	0	0	0	0	0	0	2.2697588127691E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6097514226812E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5041379890532E-9	0	0	0	0	0	0	1.6901753061219E-9	0	1.1391160924691E-9	0	0	0	0	0	0	1.7963184154927E-9	0	1.7913121806943E-9	0	0	0	0	0	0	0	0	1.0133377494888E-9	0	0	2.9625659107482E-10	0	0	0	0	0	0	0	0	0	0	4.1996674347438E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000036426	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	1.8044989001268E-9	0	3.6322898827897E-10	0	2.4758262264482E-9	8.031804668791E-10	0	0	0	0	0	0	2.6328926462571E-9	0	4.9602385034581E-10	0	7.8032255342501E-10	0	0	0	0	1.0660498544653E-9	0	2.202766873089E-9	0	0	0	0	0	0	2.6135685922026E-8	0	1.2811847221787E-9	0	0	0	7.4616403215217E-9	0	5.4675459404726E-10	1.217660816005E-9	0	0	0	0	0	8.8296023523298E-10	0	8.2668356154154E-9	0	9.5098005788409E-10	4.0349339931214E-9	3.9994992937316E-9	0	0	0	0	2.091676982981E-9	4.6006843639833E-9	9.6167892019607E-10	0	0	0	1.9539596580396E-9	0	7.2057388989166E-9	2.8912792034505E-9	2.0757670775717E-9	0	0	0	0	0	2.1326459345703E-9	0	0	0	1.3717890952536E-9	0	3.0091788310997E-8	2.5209234696783E-7	2.1452530432144E-8	3.4484224310445E-10	4.2925711872974E-9	9.2907461548164E-10	0	4.5317520334321E-9	7.6882095291157E-10	1.2941519323306E-9	0	1.3335764311599E-8	1.8871549540327E-9	0	1.8422405854465E-9	0	0	0	4.3682804911224E-10	1.4318916608672E-9	0	0	0	0	2.6281447982836E-9	0	0	4.0386585616149E-9	1.4210287164596E-10	0	0	0	0	7.4380187739835E-9	0	2.5875845668202E-9	0	3.9156841840889E-9	1.6166402910517E-9	0	4.2930804251044E-9	0	1.144625024331E-9	0	8.7332811918406E-10	0	0	0	0	0	0	0	0	0	0	0	4.5447040694571E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7600026015685E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000037162	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1207073334071E-9	0	0	0	0	0	0	0	4.3413395492729E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8539340947458E-9	0	0	0	0	7.9763833534658E-9	4.3315397702229E-9	2.1026624614053E-9	0	7.6923072542835E-10	0	3.4886115294295E-10	3.7558840446755E-10	5.9780393867096E-10	0	0	0	0	0	0	6.7875362590984E-10	0	1.9815867002052E-9	9.5859150020431E-10	4.5203945266757E-9	8.5972000062518E-10	6.1317387100717E-10	0	0	0	1.6909463123323E-9	0	3.5715736186902E-9	5.0418378508288E-9
OM-RGC.v2.000038031	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas macleodii str. 'Balearic Sea AD45'	1.2979145078186E-9	5.2949976475321E-10	1.5184692352562E-9	3.6282149313017E-9	1.6396994936629E-9	0	0	0	0	0	6.8524351452619E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08186661788E-9	0	0	0	0	0	0	6.5759009204433E-9	1.265927900873E-9	0	0	0	0	0	0	1.5952985398794E-9	0	0	0	0	0	0	0	0	5.2757849894389E-9	0	3.6454066992373E-7	1.6941666464784E-8	1.3726979660234E-7	3.3596274198847E-7	2.0590572304442E-7	1.4747895170601E-6	3.4998019597447E-7	2.2493072860282E-7	0	7.0646467684609E-9	0	0	1.472801600474E-8	0	0	0	0	0	0	0	0	0	0	0	0	1.5516032180313E-9	0	1.2410196500664E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5757714285223E-10	0	0	0	0	6.7267206075197E-10	0	0	0	0	0	0	0	0	0	4.7893970751202E-9	0	0	0	0	0	0	0	0	0	0	3.5719959614308E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4146857603297E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.003121035757E-10	0
OM-RGC.v2.000038281	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	3.1358927693486E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5178120437918E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0031802709159E-10	0	0	0	0	0	4.1156885607059E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8431461499837E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6586696366781E-9	0	0	0	0	1.8932512008598E-9	0	4.8449078254584E-9	0	4.7026576000551E-9	3.2098308661912E-8	8.4741302571791E-9	9.2727736338145E-10	1.3795809316004E-9	2.8204382980616E-9	6.335307174791E-9	3.0350758582528E-9	0	0	2.5328611586925E-9	0	0	0	0	1.3712275986312E-9	0	0	0	8.9996542020699E-10	0	0	0	0	0	0	0	3.892972126208E-9	0
OM-RGC.v2.000038482	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.695427252532E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3248732617358E-9	0	1.0802489083552E-9	0	0	3.4196933759574E-10	4.3808998356931E-6	0	0	0	0	0	0	0	0	0	0	0	1.2509071278098E-9	2.7302438783946E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7110886150283E-9	0	0	0
OM-RGC.v2.000038599	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9985634320727E-10	0	0	0	0	0	0	0	0	0	0	0	8.9348658276196E-10	0	0	0	0	0	9.5134720680429E-10	5.4269675256168E-10	0	0	0	0	0	0	0	1.8092139469764E-9	0
OM-RGC.v2.000038624	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter	0	5.8492024088237E-10	0	7.812446279206E-10	3.2430579965672E-10	0	0	0	0	1.4862620203664E-9	0	9.5015188083935E-10	0	0	0	7.2094248684028E-10	0	0	0	0	0	0	0	0	0	0	0	6.1043050030105E-10	0	0	0	0	0	5.9041929518977E-10	0	1.5286988853816E-10	1.7790797597606E-10	0	0	0	0	5.8555512644724E-10	4.4711122997544E-10	0	0	0	0	0	0	0	0	0	1.2454151077328E-9	2.9414571982485E-9	0	0	0	0	1.1818558599741E-9	5.0597675982744E-9	0	7.3085786098401E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9878824518187E-10	0	0	3.8238411966747E-9	0	0	0	2.0379049690264E-9	0	6.2983265008758E-10	1.0214208104983E-8	1.9931207322798E-9	0	1.3013823047023E-9	0	0	0	0	6.0101220923281E-10	0	0	4.2301300973692E-9	2.1447695573566E-9	0	1.5683029663327E-9	0	1.3663702427401E-9	0	1.6647916171427E-9	7.6078291377765E-10	5.5088575587065E-10	0	0	0	0	0	5.5217411724517E-9	0	0	0	0	1.7859584928157E-9	1.0872355376854E-8	0	4.8308778120629E-9	1.4825138795866E-9	9.620388271185E-10	3.2049169722503E-9	4.6639520560852E-10	9.6444144340709E-10	0	1.2716538158168E-9	0	0	0	6.1989126707168E-10	0	0	0	1.3073447674343E-9	0	4.3934266086698E-9	0	0	0	0	0	0	2.9008378482037E-9	0	0	0	0	0	0	0	0	2.0130393382187E-10	0	1.158498271365E-9	0	0	0	2.8633662488703E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000039006	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75298418253E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7834774482508E-9	0	0	0	0	0	0	0	1.1981767737901E-8	0	0	0	0	0	0	0	0	4.8608560719046E-7	3.5608488543537E-8	1.3803742429799E-8	3.8707598584103E-6	3.0024894075872E-9	2.9052619713695E-7	1.2931276099992E-7
