		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000044426	Biota; Bacteria; Verrucomicrobia; Verrucomicrobiae; unclassified Verrucomicrobiae; Verrucomicrobiae bacterium DG1235	0	0	0	0	0	4.728855462942E-10	0	0	0	0	0	0	0	0	0	3.2218084879618E-9	1.3603128565309E-9	2.0928523249741E-9	2.4145491297517E-9	0	0	0	0	0	0	1.3479333392599E-9	0	0	0	1.2546994781381E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000051820	Biota; Bacteria; Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0836359625272E-10	0	0	0	0	0	0	0	0	0	3.0443413417097E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9024381260802E-8	6.9552693718429E-9	1.3426729826505E-7	4.8633031450007E-8	1.756839905522E-9	6.1064185178769E-8	0	0	2.5390261654271E-8	1.4582865654064E-9	0	3.7523448502248E-7	0	0	1.0216719058311E-7	1.6686004570878E-9	4.0708700265333E-7	0	7.2451533126906E-8	0	1.5188229364986E-7	1.6807865273784E-7	5.2531273521864E-8	0	0	3.861279326436E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000057140	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3484218726519E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6059554302586E-9	1.1444331261978E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2452966309688E-8	0	0	0	0	0	0	6.7870870144978E-9	0	0	0
OM-RGC.v2.000060740	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0054649440597E-9	0	0	0	0	0	0	0	3.2093582758324E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8755902390255E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0952039037079E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000062201	Biota; Bacteria; Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0345684276603E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3953933242878E-8	8.6097177456961E-7	0	0	2.2605415146843E-8	0	0	6.4973735796537E-9	0	2.1733148576044E-9	4.0369438005981E-9	0	6.2499330131014E-9	6.6621660503629E-7	4.4693175725226E-9	0	2.0439203811927E-9	0	2.6493542325104E-7	0	0	0	0	0	0	0	0	3.3672509945618E-9	1.6071013907058E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000063931	Biota; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03925698135E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000064273	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7567766957981E-9	8.103633948643E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1683143965524E-9	0	0	1.7362673270243E-9	0	0	0	1.3641624920053E-9	0	0	0	0	2.3251712005871E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2302462331345E-9	1.3363090094412E-9	0	0	0	0	2.6082758106917E-9	0	1.8600540383336E-9	1.0383522159715E-9	0	0	0	7.8876299399484E-10	0	0	1.4758408436828E-9	0	0	0	0	0	0	1.0596086299539E-8	1.9773567391619E-9	0	0	0	1.1193477874625E-8	1.1851511865173E-8	1.5205756749082E-8	1.303353064099E-9	1.8723779181826E-9	0	1.8701949044919E-8	2.5629141818225E-9	0	9.6704106382215E-9	2.9663073003471E-9	0	0	3.0354183399652E-7	0	0	1.7787761535374E-9	1.5420689522943E-9	0	1.2756689662268E-9	2.4259883899634E-9	0	5.5871717319103E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000066279	Biota; Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pneumoniae	0	0	0	0	0	5.1802617091191E-10	0	0	3.2027321229205E-9	0	0	5.5023534094303E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1155565576466E-10	6.3132152841679E-8	1.4993195009841E-8	3.3018996678593E-8	1.6068038988816E-8	9.0342154408644E-9	0	0	0	0	0	0	0	0	0	0	3.611136575884E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9793464258988E-6	2.2959838489776E-8	0	1.8766462633007E-9	3.0202746407028E-9	3.4902920513729E-9	2.4497553620802E-9	1.0027314939036E-8	4.8088029580672E-8	4.3284077058447E-7	8.5588105872819E-9	0	0	0	0	5.848587622502E-9	0	0	1.5796661968996E-9	1.7062657286026E-9	0	0	0	0	0	0	0	0	0	0	0	1.1849914333653E-9	0	0	0	0	0	0	0	0	0	9.3578854861247E-8	0	3.3293076812221E-9	9.3396295698917E-9	0	0	4.9725232729589E-9	8.9769043532827E-10	0	0	0	0	0	0	0	0	0	3.5526987888236E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000069417	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales	3.3832376546557E-9	8.9765575647543E-9	1.3658117409684E-8	2.946461797429E-8	1.1294757917657E-8	1.7493606956039E-8	2.0833824447072E-8	1.7181289643156E-8	2.5890476706611E-8	3.4825529495921E-9	3.1643623763316E-8	1.8626327438781E-8	2.4696729536838E-9	3.3238455500592E-8	4.7495843251824E-8	1.9186316355006E-7	2.7947345577057E-8	3.3597909923859E-8	6.2520158305736E-7	3.985441147415E-8	2.3915872093908E-9	3.0679394740869E-9	7.5880403548912E-9	3.9098658538199E-9	0	0	3.0463507637215E-9	1.4431043095142E-9	7.9801658287089E-9	9.5689777276298E-8	4.8611924127661E-8	2.7230520530698E-8	3.6866364592408E-8	1.9927572005114E-8	3.9768310808151E-9	1.4136417082645E-8	1.9932301590673E-6	1.3708972140926E-8	1.0797664698394E-8	8.767466103602E-9	8.0034920570858E-9	2.689740490941E-9	3.3680489140234E-7	9.6439782604335E-10	1.8002450304298E-7	7.3280373251443E-7	0	5.7435889232191E-9	0	0	1.1220872301808E-8	4.9235822428185E-9	2.6503709932562E-8	8.6208998905858E-8	1.4961393383716E-8	1.7701726344277E-9	7.7568034327908E-8	1.073220529583E-8	5.3160104901788E-7	8.0949321589643E-7	2.4341348888014E-7	9.5357315327104E-8	1.9690718432355E-7	1.332031130013E-7	2.5672267397517E-8	2.0769412384523E-8	1.3693778104852E-8	6.1029342491015E-9	3.1692206739424E-8	0	1.6769071354126E-8	2.1245913955883E-8	1.8785608224606E-7	6.862670543477E-8	1.8255838845374E-9	1.8923174052444E-8	1.5735973055399E-8	7.9899528623693E-9	4.4850521708698E-9	0	1.5124755400392E-9	5.9804718797581E-9	1.5191339753548E-8	1.8450990774004E-9	2.8560040199446E-8	2.85923297196E-8	4.6244396637746E-8	9.4556219498824E-9	9.1153523876075E-9	8.0333112985144E-9	1.2082753181277E-9	1.932503104031E-8	5.9511666586701E-9	1.3046080574267E-8	9.2616086747954E-8	2.8111960466721E-8	8.8010044674593E-8	4.9432764529867E-7	1.6884126025613E-8	8.5682697750553E-8	5.0029684210262E-8	2.6490303545825E-8	7.1827741761986E-9	1.1544568744799E-7	5.2228970891855E-9	8.8212354081453E-8	5.2696987414522E-8	5.699412283382E-8	1.237704620641E-7	3.0525349352848E-8	1.2071511224065E-8	1.6517787876779E-7	1.0037059680557E-8	1.0810675070219E-8	5.5388014304382E-8	1.7356772517123E-9	4.8957051923746E-9	1.3981227192227E-8	2.0316161733252E-8	3.8908045859282E-9	1.4020702822404E-8	2.7397381572947E-8	8.2900023667379E-8	1.2407779898791E-7	1.384752861242E-7	5.5879446235538E-9	1.4827252601762E-7	2.3877142503394E-8	1.4104839631316E-8	1.186360102242E-7	3.6007754642536E-7	4.8292554360049E-9	1.6364127377866E-8	1.1187051076002E-9	4.3402815189891E-8	9.363308735411E-9	4.8599433036888E-7	2.8689713125916E-8	2.4737440917914E-8	0	1.0424329427065E-9	0	0	0	0	4.9781271411727E-9	0	0	0	0	0	0	0	0	2.1069110152249E-9	0	0	1.7516414029794E-9	0	0	0	2.2623221795778E-9	0	0	0	0	0	0	0	0	0	2.0792374108074E-9	0	6.3845003133488E-10	0	0	1.6692092582656E-9	0	0	0
