		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000036558	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Klosneuvirinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4268982423251E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4697251101891E-9	0	1.2030945507179E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8342663528592E-6	1.6672726913291E-9	1.3817871511247E-9	0	0	0	1.1277264213054E-9	0	0	0	0	0	1.2151481999989E-9	0	0	0	0
OM-RGC.v2.000060197	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Klosneuvirinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2881995992598E-10	6.2056626308794E-10	6.8677645912379E-9	9.2325558475945E-8	1.3624420674495E-7	4.5534035595398E-7	0	0	0	0	0	0	0	0	0	0	0	7.8487520097564E-9	0	0	0	0	0	0	0	1.8045259486937E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5264964036322E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9902660116063E-10	0	0	0	0	0	5.6294824607966E-8	0	2.6622615534857E-9	0	0	0	1.0201476278376E-9	0	0	0	0	0	0	0	0	0	0	2.4214334794121E-9	0	8.3160350243632E-8	0	0	9.0002109837868E-7	6.8628079533594E-8	4.7105761340583E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5341744019697E-8	0	0	0	4.43457889832E-8	0	0	0	0	0	1.6730502815744E-9	1.1015047020329E-7	3.6866533180103E-8	3.9040625463565E-8	1.7238397126179E-7	1.0302293286763E-8	4.1439572761072E-7
OM-RGC.v2.000067752	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Klosneuvirinae; Hokovirus; Hokovirus HKV1	1.3973674661628E-9	0	0	0	1.4988397079132E-9	1.2197192129205E-9	6.4299950531555E-10	0	0	3.5417701472428E-9	0	4.8243907482518E-9	2.4853575350439E-9	4.585553537829E-9	6.2330772402354E-9	0	1.4804049724956E-10	0	3.2724204682244E-9	0	0	0	0	0	0	0	0	7.8875542702916E-10	0	3.6427381505603E-9	0	0	9.5574584539704E-10	2.3653588642178E-9	0	0	1.7795137455891E-9	6.1187218343011E-9	0	6.4574310714866E-9	0	0	5.2128103135692E-9	0	0	2.0311113277741E-9	0	2.4605677669559E-9	1.101962591755E-9	3.6143196118419E-7	0	0	0	0	0	2.2083452933903E-9	2.624318251732E-8	8.3857656317952E-8	2.8568405874606E-9	0	1.3441118327393E-9	4.281790162936E-10	1.9748054554345E-9	0	0	0	1.0156297440614E-9	1.986492030477E-9	1.192708698737E-9	0	6.660224806579E-10	0	0	9.5449938438371E-10	0	0	0	0	0	9.0644371055037E-10	0	5.3529510764729E-10	0	0	0	0	0	0	0	0	0	2.4809111964967E-9	0	5.6086750250021E-10	0	0	0	0	0	1.8390042501127E-9	0	0	0	6.1369306906617E-10	0	0	0	0	0	0	4.282772225889E-9	9.3051707322406E-10	3.4583946077743E-9	0	0	6.1488532502589E-10	0	2.1399348409752E-9	1.0301788914091E-9	8.2726075669827E-10	9.5074454715624E-10	0	1.2241402463102E-9	0	2.3560656957701E-9	2.1971877241596E-9	3.0124265658208E-9	0	2.1108001184315E-9	0	1.2405982799524E-9	1.0561952472208E-9	0	0	1.6531150471196E-9	0	0	0	0	0	1.0350659254388E-9	0	0	2.6409301733297E-9	8.1999635206211E-10	0	1.4365549134913E-8	1.0654511017097E-9	2.3280677775967E-9	0	0	1.8959139046521E-9	0	1.6888068411491E-9	0	0	1.1583780556933E-8	0	0	1.4355744053967E-9	3.1376734616331E-10	2.4697913495504E-9	5.8325828454711E-8	1.3798194220022E-8	1.6905084633962E-8	1.2594421403644E-9	6.1137112545532E-8	7.4520987876646E-9	1.9665679677891E-9	4.5569699289272E-9	3.0780850287677E-9	2.7492130768295E-9	2.0226842810766E-10	3.4375512187786E-9	9.7215051452277E-9	2.4501650293942E-9	3.6981021457677E-9	9.7374337135525E-10	3.2163093170526E-9	4.092812908483E-9
OM-RGC.v2.000069482	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Cafeteriavirus; Cafeteria roenbergensis virus BV-PW1	6.4679543397037E-10	0	1.1221582977198E-8	3.1219758633663E-9	0	0	1.3783191746255E-9	7.2295679907074E-10	0	3.3348082790524E-9	5.4712514844902E-9	2.8300466496253E-9	0	0	1.7206759160938E-9	0	7.690475236869E-10	0	0	2.245583467105E-8	6.4154907374186E-8	2.5252395747041E-8	0	6.9883234513656E-9	0	2.7050094568143E-8	1.625023526797E-8	0	0	1.1985536995244E-8	7.0998041200163E-10	2.6563887200318E-8	2.1891177567588E-9	6.754374130179E-9	3.2958092678394E-9	1.2691513248613E-8	4.822051550947E-9	1.0515430506554E-8	0	9.8027612672504E-9	1.0558696645211E-9	0	0	0	0	0	0	0	7.2137373219537E-10	1.1155261791011E-8	0	0	0	0	0	0	0	9.483824337218E-10	2.8771739724319E-9	0	2.1047055726402E-8	0	0	3.5666205340194E-9	0	0	0	0	0	0	1.0739756305999E-8	1.8201328155361E-8	0	0	0	0	0	0	1.2913299411793E-9	0	0	6.8070362777918E-8	1.8163558400973E-9	2.5237700481179E-7	2.1194641105161E-8	0	1.3491287709716E-8	0	0	4.9725828425541E-9	1.7768754678283E-9	0	3.6305859489955E-9	0	0	1.4664507411734E-9	0	0	3.8555015378361E-8	5.5085743128053E-8	2.4158031844381E-6	2.5459667745956E-7	4.0394456988551E-7	2.0061651847215E-9	1.0281738960851E-7	5.3885644982506E-9	9.0407505456322E-9	0	0	5.5843107346225E-9	1.2230224055342E-8	0	0	0	1.8138979213152E-9	4.4220520935673E-9	0	3.2382185046227E-9	1.5033324471727E-8	4.5227911934476E-8	0	0	0	0	0	0	0	1.9757668600187E-9	1.4413084054291E-8	0	0	1.933829599699E-8	1.9153883639951E-8	9.6464122170654E-9	0	3.2831273798953E-9	0	1.8984415167798E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000070891	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Cafeteriavirus; Cafeteria roenbergensis virus BV-PW1	0	0	0	0	0	0	0	7.2709685231087E-10	0	5.6039935796089E-9	0	1.1972269407209E-8	0	3.357569105499E-10	1.7305294646486E-9	3.6457035144958E-9	4.6805777434992E-9	0	0	1.6769680766269E-8	7.8635283436819E-9	1.1036324027907E-8	0	1.336609208621E-8	0	1.9269756713552E-8	9.2828441871555E-9	0	3.0498285869331E-9	2.7388124373719E-8	9.7197531767767E-9	3.4810164230697E-8	9.1493511571209E-8	0	0	4.7438952528957E-9	0	1.0364162928284E-8	2.1482686725575E-9	9.1456422244704E-9	1.2674671681273E-8	0	0	6.0054159474607E-9	0	0	2.3286654431881E-9	0	2.7919005696142E-10	4.0084363330101E-9	0	0	0	0	0	6.6989855901844E-9	1.2823727800013E-8	3.1864421083167E-8	1.4468251364684E-9	0	1.1002580228164E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8627750953695E-9	0	0	0	0	8.6848568557047E-10	4.1382811606175E-9	0	0	0	0	0	5.1085586104127E-11	0	1.7045867092477E-8	0	0	0	1.7895709180137E-8	3.8703920339319E-7	5.7539438268222E-8	9.9733220845528E-8	5.6249736833609E-9	8.7702706098862E-8	7.065677123471E-9	2.890415908313E-9	0	0	0	0	0	1.2429840919423E-9	0	0	3.9984417443496E-8	3.7658500503455E-9	0	1.5332363147991E-8	0	1.2794071856354E-8	2.1448124506081E-9	0	0	0	0	0	0	3.2069958850471E-9	0	0	1.1787378197206E-8	4.4789714055558E-10	3.6888899542941E-9	0	0	0	1.5683642912026E-9	4.6344483063553E-9	0	0	0	0	0	4.1099965485533E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.457282797753E-10	5.5799928962792E-9	0	0	0	0	0	0
OM-RGC.v2.000076220	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Cafeteriavirus; Cafeteria roenbergensis virus BV-PW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.037405560525E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8326113335483E-9	1.8273841173274E-9	0	0	1.2107637912737E-8	0	0	0	1.401560038402E-9	9.6309588625648E-7	2.3843356059698E-9	6.5095813211513E-8	0	4.1633066619695E-9	3.5530601803466E-7	0	9.7915966442343E-9	8.1951276300241E-9	4.7135324922465E-9	2.8749581489419E-8	6.3846317334536E-9	6.499483866632E-8	0	0	0	0	0	0	0
OM-RGC.v2.000078016	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Cafeteriavirus; Cafeteria roenbergensis virus BV-PW1	0	0	7.7682052765001E-8	1.9556927069937E-7	0	6.7475638097085E-7	1.5357164475376E-9	2.8774260776127E-9	0	0	1.9143171683399E-9	2.9279937722294E-9	0	1.1153522740054E-9	8.9458694879321E-10	0	8.0386676537826E-10	0	0	0	6.2299404290335E-9	1.1025257730122E-8	0	0	0	1.6489798343491E-8	2.3831251205081E-8	0	0	1.5344674676407E-8	4.15247102045E-9	1.0948166423678E-8	1.1911604310492E-9	7.9869638634105E-10	0	1.214560823089E-8	5.5113972819916E-9	2.4466143178173E-8	4.2983803001633E-9	5.0529891579225E-8	3.4083286166553E-9	0	0	0	0	0	0	0	0	1.859054534945E-8	0	0	1.6139039076509E-9	0	0	0	0	9.7119338148713E-10	0	0	9.8650317675578E-9	0	0	1.500879437325E-9	0	0	0	0	0	0	5.5957995716898E-9	0	0	0	0	0	0	0	2.1195040866743E-9	0	0	1.0062892514745E-7	0	6.930350765946E-8	1.1527638185532E-8	0	7.2886045918098E-9	1.7028508928859E-9	4.2624066853489E-9	1.1783191401049E-8	6.4802635227507E-9	0	0	0	0	0	1.9682604220188E-9	1.9577853683822E-9	4.5086389016142E-8	2.8936460077554E-9	3.2957478082687E-8	1.0041330332611E-8	2.4575045551165E-8	0	1.2212566995093E-7	4.8457294754126E-9	2.6002420241002E-9	0	0	4.6426999552335E-9	0	0	0	0	0	1.0612061816661E-8	0	0	6.3419352668081E-9	1.0364907017525E-8	1.9711925488568E-9	0	0	0	0	0	0	2.0441475981791E-9	1.0996988835235E-9	0	0	1.319532410512E-8	9.1326690006212E-9	3.5862457374113E-9	0	8.8227415581323E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000081955	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Cafeteriavirus; Cafeteria roenbergensis virus BV-PW1	0	0	0	0	0	0	2.9366331235278E-9	6.9073091119068E-9	0	3.6374962065596E-9	4.3441776806349E-9	0	0	0	0	0	2.4494788347918E-9	0	0	0	3.7413685506169E-9	8.3652389121809E-9	0	9.1698492596396E-9	0	2.2859033294453E-8	1.1209288050573E-8	0	0	1.0808758443161E-8	1.9413569223513E-9	7.2832816770974E-8	3.4762454995591E-9	7.4433025460626E-8	5.097963641356E-9	3.3438888508376E-8	0	1.3903034051299E-8	4.0291927803421E-9	7.353080593076E-9	2.2191426756261E-9	0	0	1.5468405079176E-9	0	0	0	2.3948134238092E-8	1.3038681834338E-8	0	0	0	0	0	0	0	1.140847275459E-8	2.0450993613946E-8	0	0	2.006053006485E-8	1.6550147272334E-9	0	8.1077620319944E-9	0	0	0	0	0	0	0	0	7.8341964647695E-8	0	0	0	5.5339973975119E-9	1.1590704593882E-7	0	0	2.5878479596464E-8	0	0	0	0	0	1.1485045194542E-8	0	1.8300415682486E-9	2.0665573054282E-9	0	0	1.2989508891042E-8	0	0	7.7261395739024E-9	0	1.9925941604741E-8	6.7544228495716E-8	9.6331572780855E-10	2.4724358272668E-8	1.765585757086E-8	1.1064383489992E-7	0	3.4264413839031E-8	4.6456146723313E-8	5.5059255087346E-8	0	0	1.2807862070278E-8	3.8752982324098E-9	3.9294616173147E-9	1.0290354865889E-6	0	0	1.4756613009908E-9	0	1.1381370224475E-9	1.4896772341895E-8	0	5.7189723304058E-9	0	0	0	0	0	0	0	0	0	0	4.3594715569172E-10	0	9.1542825408829E-10	0	0	0	1.9949965078917E-9	1.7608823782044E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000093281	Biota; Viruses; dsDNA viruses, no RNA stage; NCLDV; Megaviridae; Mimivirinae-1; Klosneuvirinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3262308327448E-8	1.7384521841168E-8	1.8786270170526E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1056382450195E-9	0	2.1128002353147E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1802854749485E-9	0	0	0	0	1.3534182990293E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	1.786299389054E-10	0	3.6006647307505E-9	9.5360592646574E-8	3.8666355825479E-8	1.4316967683842E-5	1.9582266309226E-9	2.2163670433081E-9	0	0	2.6236365440858E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0727481525034E-9	5.6842558176963E-9	1.9165405671003E-8	2.3629686830766E-9	1.4950988367492E-7
