		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_064_MES_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_070_MES_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_MES_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_A100000164	TARA_E500000331	TARA_A100001403	TARA_A100001234	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B100000408	TARA_B000000441	TARA_B000000460	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000446	TARA_B100000427	TARA_B100000508	TARA_B100000519	TARA_B100000749	TARA_B100000530	TARA_B100000745	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000902	TARA_B100000953	TARA_B100000927	TARA_B100000929	TARA_B100001113	TARA_B100001079	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000949	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001996	TARA_B100002003	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.012782268	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2756875311334E-7	0	0	0	6.7856314240033E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.017649551	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8187481192298E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2333768089206E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5593842183346E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7002421487112E-7	0	5.8930859770133E-8	1.3616341069983E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.019324851	Biota; Bacteria; Proteobacteria	0	5.4244243536271E-9	0	0	0	0	0	3.29657538332E-9	8.7989078957018E-9	1.6763714766079E-8	0	0	0	0	0	0	1.2648079144023E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5901318253933E-9	0	0	0	0	0	0	0	5.7221432719688E-9	6.6918884362539E-8	0	0	3.2234163660499E-8	0	6.6026604662472E-9	0	0	0	1.6423413818386E-8	0	3.0213195641135E-9	7.025888231883E-9	0	0	0	0	0	0	3.1660617096696E-8	0	9.7641271131228E-9	6.6263379022602E-9	0	8.2669605875116E-9	0	0	0	0	0	0	0	0	0	0	2.6205563012618E-8	0	0	0	1.3791553027698E-8	7.8037191074935E-8	0	0	0	0	0	0	0	0	0	0	1.5872001508294E-7	0	2.5256785787681E-7	5.6078036761644E-8	1.2828763166491E-7	1.8676410320376E-7	1.6972166119854E-7	1.4300579314685E-8	0	1.3688930005559E-8	0	0	1.6354838625485E-8	0	0	4.8745014875737E-7	0	1.4975833246285E-8	4.8108730437735E-8	9.0918924693598E-8	1.0207727555961E-8	0	2.9687435742302E-7	1.30644801836E-8	0	0	0	0	5.0776247209249E-8	2.2557559823409E-8	2.6306214339325E-8	0	2.6588853439951E-8	6.6133043774516E-8	2.5522185730943E-8	0	0	7.9107622312761E-8	2.9212406624813E-7	9.0373330109722E-8	2.9386480932532E-7
OM-RGC.v2.019956105	Biota; Bacteria; Firmicutes	2.6117851125172E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6417740170913E-8	0	0	0	0	0	0	0	0	0	7.0255866905153E-8	1.2408353483978E-7	1.869529353422E-7	1.2230740364686E-8	0	0	2.3443328609525E-8	1.5578187249195E-8	0	0	0	0	0	0	0	0	2.0612796292187E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0695521248156E-8	4.0780696204865E-9	8.9948136568171E-9	0	0	0	0	0	0	0	0	0	2.3110306156756E-8	0	0	0	0	0	0	0	0	0	0	1.3898048975339E-7	3.0043451989653E-8	2.8669643094492E-7	9.0958975572902E-9	8.2130026269502E-8	3.0793973500016E-7	1.0708051173661E-7	7.1033693892646E-8	1.9880615062681E-7	4.2109776683679E-7	7.2023596605589E-8	4.7493151840754E-8	1.9040703939103E-7	2.1957182007496E-7	1.2254675283113E-7	3.6890402793758E-8	1.340433848744E-8	0	1.2012887956118E-7	2.3561527355109E-7	3.2048578847026E-7	2.2621414801853E-7	6.4518549408675E-8	2.2840625415721E-7	8.0838654434033E-8	1.4678489002793E-8	4.5509893738803E-8	5.026779737816E-8	1.3439414380509E-7	2.7200406040006E-7	2.5166899369726E-7	3.9861630246934E-8	1.118237489916E-7	3.1013606031486E-7	2.6972219645847E-7	4.2653132728854E-7	3.7669349882891E-7	6.9755826900383E-8	3.0022315589193E-7	7.7796199720217E-8	1.1978143837998E-7
OM-RGC.v2.023174720	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	1.066446754103E-7	0	1.0990553351423E-8	0	0	0	0	0	0	0	0	0	0	0	1.0460952760102E-7	1.4169565935265E-8	0	6.0291887504232E-8	0	0	0	2.0915315616748E-8	4.8114217427402E-8	0	1.1209227634101E-8	0	4.8906087202811E-8	0	2.9738749807607E-8	0	0	0	0	1.7428246374281E-8	0	0	0	0	0	0	1.0791444210935E-7	0	0	0	2.8518542148759E-8	0	9.1373583977208E-8	0	7.8130334982696E-8	0	6.3033992671532E-8	0	4.0199859418546E-8	0	8.1890396275946E-8	0	8.4873823790836E-8	0	0	0	0	2.9425680584453E-9	0	0	0	8.9147539732533E-9	0	6.8532410019924E-8	0	0	7.0468823651714E-9	0	2.7735771755095E-8	0	0	0	1.0370860075132E-7	7.4404996076866E-8	0	7.7757767016543E-8	0	3.082188703504E-8	0	0	0	0	2.9213508238096E-8	0	0	0	5.4269860045747E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.023457875	Biota; Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8983839655428E-7	9.1322027234831E-8	1.248328579538E-8	4.3353008426769E-8	8.8037834418251E-8	0	0	1.9624497090833E-7	9.4528474190297E-8	0	0	0	3.4172794541973E-8	0	1.0196236757224E-7	5.4670779221059E-7	4.7907494175845E-7	1.0891237492174E-7	3.2666257368736E-7	7.4470757092341E-8	2.0784823713807E-7	2.7815904507479E-8	6.8176895211555E-8	0	0	0	5.0756927239321E-8	0	5.463150626963E-9	0	2.1617154782163E-8	0	5.1699968451617E-8	0	1.7360686523079E-8	0	4.2415839853911E-9	0	2.4386354240834E-8	0	2.0952457457058E-8	0	3.5130934316809E-8	0	0	0	0	0	0	0	0	6.535618393813E-8	2.947673865295E-8	1.0802399325559E-7	1.7047193186116E-8	0	7.158782526536E-9	2.6777163785523E-8	1.7011279775293E-8	0	0	0	5.0973067046214E-8	1.1179865031651E-7	4.4989232809421E-9	1.3418063482628E-7	3.2115842658336E-8	9.19787985236E-8	0	0	0	0	1.1561196202382E-7	1.842529780401E-8	0	0	2.3080296532591E-7	5.1613677233785E-8	1.4313742583312E-7	2.4165797983178E-7	1.1551875517116E-7	1.810568024774E-7	3.996931578125E-8	0	4.5676303525897E-8	8.9911871644433E-8	3.7043742730239E-9	6.0285801687785E-8	0	0	9.9641433255806E-8	0	0	0	4.3019642642771E-8	5.7060050102194E-9	0	1.1452847995062E-7	0	0	1.6080367165974E-8	1.9144295016036E-8	3.4641026316823E-8	3.9591136688859E-8	0	2.6982284517019E-8	0	4.9235874643374E-8	0	8.5091385056937E-8	4.5450686252317E-8	8.1950978560486E-8	4.0621143110248E-7	2.2321859717756E-7	5.3892110391952E-7	2.8020423894103E-7
OM-RGC.v2.024227007	Biota; Bacteria; Firmicutes	0	0	0	0	0	1.0068701542717E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0644117412876E-8	0	0	0	0	0	0	2.8838991193568E-8	6.8690230222013E-9	1.6422985878853E-8	0	0	0	1.7255565740107E-8	0	2.1500140736893E-8	0	0	4.4502352450136E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.2855779395894E-7	1.7209015330668E-8	0	0	1.5092950335719E-8	0	0	7.0704206554686E-9	0	1.6874046868741E-8	4.0303074932757E-9	0	1.2482550161516E-8	6.450810292467E-8	0	0	4.2095809727935E-8	0	0	1.0033267516756E-7	0	0	9.2897896119347E-8	0	1.8496388264651E-8	0	0	0	0	0	0	0	0	0	0	0	0	9.8980482774204E-9	0	8.7931896596646E-9	0	1.0961879181548E-8	2.9888652904405E-8	2.7072094806283E-8	0	1.4723940760357E-8	8.4598835142721E-9	5.9660854248753E-8	0	0	0	4.0821430903162E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.024758787	Biota; Bacteria; Firmicutes	4.1965285784649E-8	1.2479311518712E-8	0	0	0	8.6872934935619E-9	2.0022577837677E-8	0	0	0	1.2571524886147E-8	9.2490932341214E-9	0	6.0830526483434E-9	0	9.1457352657261E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1000668016373E-8	0	1.3787536325577E-8	0	0	4.3533815289928E-9	0	0	0	0	0	0	2.9963654080589E-8	5.8488268291716E-9	0	0	0	1.8806156904204E-7	5.2588097306762E-8	9.220108266082E-8	0	0	0	0	0	0	0	2.7320472153022E-8	0	1.5376362973264E-8	0	3.3417218389321E-9	0	0	0	1.7326468966485E-8	0	0	0	0	0	0	0	0	0	0	0	0	1.2806279858528E-7	0	1.1492174275158E-7	0	0	0	0	0	4.6578575828188E-8	0	0	0	5.0192339820274E-8	0	0	0	2.0005693973547E-9	0	2.859678667912E-8	0	1.2337425916259E-8	5.1839020531175E-8	2.0500238580674E-8	3.8512733685874E-7	1.6932003288969E-8	6.0496934916203E-7	1.7087668821426E-8	0	5.365525263135E-8	0	0	0	0	0	0	0	0	1.3813073295982E-8	3.3118142566515E-9	0	0	0	2.950865661043E-8	7.2742187516774E-8	0	9.4270841300335E-9	0	0	0	6.6122679940551E-9	0	5.4513535539468E-8	0	0	0	0	0	5.8708070379631E-9	2.5963769787422E-8	0	2.4909691774194E-8	4.4159661857885E-8	0	9.120474111656E-8
OM-RGC.v2.026625247	Biota; Bacteria; Proteobacteria; Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2589187670627E-9	1.5379317804919E-7	1.0215814625785E-7	5.2614942426252E-8	1.2537576148139E-7	3.7453281318374E-8	1.4032157640303E-8	6.5958210049335E-9	8.1093223914386E-7	0	2.5535440650387E-8	1.2214462901865E-7	0	0	0	0	0	0	0	5.2306586883491E-8	0	2.7619521026205E-8	0	0	0	0	0	1.7667202956487E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1991708434657E-8	0	0	0	0	0	0	1.9459010999892E-8	2.6142791113751E-8	0	0	0	0	0	0	0	1.446538275418E-8	0	0	1.0113126450762E-8	0	0	0	0	0	0	0	1.815941208166E-8	7.0728477819696E-8	3.806304542053E-8	0	0	3.3948607647132E-8	4.1687784872952E-8	0	0	0	0	2.0589169926871E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
