		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000221518	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas stellipolaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4218728208993E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4733716242842E-8	0	0	0	0	0	0	1.50751014761E-8	2.5196540200429E-9	8.6030365416152E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1330239631353E-8	0	0	3.0276633342402E-9	1.0822203257032E-8	4.5816183145055E-9	2.0511938476995E-8	2.8092944556982E-9	8.5636032082914E-8	1.5721116060765E-8	4.6590713591983E-9	0	0	0	0	3.0793297634639E-9	0	0	4.8207867817257E-9	0	3.8570740799739E-9	0	3.2199122497447E-9	0	0	0	0	0	0	0	0	0	5.767677319192E-9	0	1.1000287297766E-8	2.4689813839174E-9	0	0	0	2.995115290312E-9	0
OM-RGC.v2.000222840	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Pseudoalteromonas sp. TAE56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.742804944799E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0730008703044E-8	1.8664367368622E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7429577947269E-9	0	0	3.7569645266294E-9	0	0	0	0	0	0	0	0	0	1.0984498331666E-8	2.8973655479444E-9	0	1.165946067319E-8	0	0	0	0	6.4882851382109E-8	0	0	8.7218704095307E-9	5.4162787640411E-7	3.2548308398839E-9	3.2470500105844E-9	0	2.5854065331648E-9	5.8504119351656E-9	2.6611694469275E-6	2.2355682846979E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000230259	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6347743028862E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000237494	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	4.3943638724094E-8	4.1717772467738E-8	3.7862348610013E-7	1.313939409902E-6	1.8486758834184E-8	2.6842185077129E-7	1.775996806536E-7	7.1013000042528E-8	1.3990427501055E-7	0	7.214411668849E-8	2.9990093340317E-9	0	4.7232614686531E-9	4.829975137414E-9	1.3507219487877E-7	1.758008061718E-8	2.7117219586818E-7	2.164394100374E-7	1.4663268813916E-8	1.6053041810558E-7	0	2.7591522970892E-6	4.4804914606439E-7	3.8200728211783E-7	3.2081937311825E-7	1.0493251121435E-7	2.8213234624735E-7	6.0018534093738E-7	3.6699686752102E-7	4.9619294211656E-7	1.27279434303E-7	3.7439133422654E-8	3.8374859380837E-9	5.8939662976145E-8	4.4755950605501E-8	3.8014931960536E-8	0	8.146360537489E-9	3.6482119378308E-7	4.4160603350355E-9	7.916512702522E-8	4.2078582946173E-7	0	1.8204962495149E-8	2.6285948029702E-7	0	0	5.7745174944604E-9	0	4.2324939778783E-7	5.4613850604629E-7	1.3657931020015E-7	4.1059129343762E-7	5.1289575869454E-8	5.1721923934446E-8	1.763517079527E-7	2.3063637779474E-8	3.1715326769109E-8	9.9702849555922E-8	2.6241998867966E-8	0	2.3625095696246E-7	1.7265838763122E-8	1.2162466955965E-7	2.0616544725295E-8	8.7306008344034E-10	0	0	0	5.1677181680236E-8	1.8111282544586E-7	9.5523587166107E-8	7.9603708551996E-8	1.5134620883172E-8	2.96647589067E-7	8.5738872386554E-9	3.1067899924367E-9	2.8465831268612E-7	1.4509186558966E-7	1.2174759162132E-7	6.1604310526682E-8	2.8657651376417E-6	0	2.2271471602068E-8	7.0070846637197E-6	0	7.4628456484061E-8	7.0657152680807E-7	1.3858334626468E-7	4.4739215613856E-7	1.6034519649496E-6	7.4423575008492E-9	2.3092362914718E-6	1.7159655730719E-6	2.2601100651169E-8	3.3560312017011E-7	1.785438677095E-7	0	6.830036782999E-7	0	9.3009146432542E-8	3.3819202554159E-8	4.418637264216E-7	2.5733040635719E-9	5.4311427465667E-7	1.1976302525871E-8	7.7005053142401E-8	3.6551235119747E-6	2.7513385756454E-8	2.1800145216789E-8	6.3398436142534E-7	3.4044371275844E-8	9.0657156449975E-8	6.3207654840264E-7	4.1127894379184E-9	2.1611964288774E-7	3.6302854223775E-7	3.333195778447E-8	3.8814390189211E-8	0	1.7262466604236E-7	1.8839971396156E-6	0	2.6798637217557E-7	0	1.9838716773067E-7	0	0	1.4920812533387E-6	6.8817477730635E-7	0	1.5113174819278E-8	1.4066489318732E-8	1.6970987312214E-8	3.1676045967485E-9	1.114478617303E-7	1.5753596495387E-8	0	6.8798292815906E-10	0	0	0	0	0	0	0	3.0426101088251E-9	0	0	0	0	0	0	0	0	1.503628060554E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000238100	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0323673250805E-8	0	0	0	0	0	9.0884347004396E-9	0	0	2.3674478706554E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000238363	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Arsukibacterium; Arsukibacterium sp. MJ3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6943591708354E-9	0	0	0	1.3461142682564E-7	1.364203100571E-7	1.5059741040912E-8	4.230054470802E-8	0	0	0	0	0	0	1.0710185917042E-9	0	5.6906249015258E-8	2.2425388015428E-8	6.9157266034849E-9	2.21979852926E-6	6.3849058282031E-8	1.780106461776E-7	1.2534636194115E-7	1.2784852151309E-7	1.6088052484085E-8	7.6796439938617E-8	2.433904935051E-7	5.2152467448504E-9	0	4.7601140201426E-9	6.2027159006412E-8	2.1177614793514E-9	0	0	0	0	6.478883542976E-9	3.0026787327688E-8	1.7882149282828E-9	0	0	1.0662355432653E-8	4.3467166801907E-9	0	4.1259068591996E-7	1.0018768727279E-7	1.6121533015657E-8	2.4135115898226E-7	3.9799013995818E-8	5.2504593489324E-9	4.4811443663432E-8	4.6568156809045E-7	0	6.0616795324654E-8	2.3584984203022E-9	3.884927340771E-8	7.0986623645757E-9	2.3997686904231E-8	2.2818947407503E-8	0	0	2.8315306690554E-9	6.5192625684721E-9	3.5076281578096E-9	2.6195679950055E-9	4.712671206681E-9	0	3.0748781444097E-8	4.2268584232978E-9	5.308897263593E-8	2.5759033605907E-9	8.1773312193657E-7	3.236537687352E-9	0	4.9671590423337E-9	0	0	0	0	1.741036829471E-8	3.5375567781602E-8	0	3.4770266657411E-8	4.8828818802278E-8	2.1936163386439E-9	1.0972652977966E-8	0	0	1.2070852161613E-8	0	0	0	0	2.299273736808E-9	0	0	0	0	1.0542842196882E-8	0	0	0	0	0	0	0	0	0	0	3.7746628234833E-9	0	0	0	0	1.3687511831026E-9	0	3.1514099786829E-9	0	0	0	0	0	0	2.2256100548859E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4509685781097E-9	0	0	0
OM-RGC.v2.000238705	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5716621080832E-9	1.8629758560963E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9662911953018E-8	4.8573241910061E-10	1.7829892943936E-8	1.2964856270474E-8	1.5228417261803E-8	2.1307363778256E-9	0	0	0	0	0	3.1508697478568E-9	0	5.0376344447261E-9	1.2098626034736E-8	5.064481739704E-9	0	0	3.2947182918992E-9	0	7.9466499972123E-9	0	2.3839317718435E-9	1.164850919635E-8	0	0	1.7793916475002E-8	0	2.9508369314755E-9	2.1046109229377E-9	1.8581084934995E-8	9.6026758179999E-9	0	3.0218641509054E-8	6.4338853097805E-8	9.5130751828551E-8	1.1013197629217E-8
OM-RGC.v2.000239058	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6983853718179E-9	1.3929850684468E-7	5.4579862343488E-7	2.2785508074524E-8	0	2.6532356230556E-6	1.9321915557232E-9	4.1373211555534E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8538256941802E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000290354	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Moritellaceae; Moritella; Moritella sp. PE36	0	0	0	0	0	0	0	0	6.0942409331259E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.313772717001E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1297477958854E-6	2.8797757383288E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
