		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_MES_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_098_MES_0.22-3	TARA_100_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_133_MES_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_150_DCM_0.22-3	TARA_151_DCM_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_193_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_205_MES_0.22-3	TARA_206_MES_0.22-3	TARA_210_MES_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000178	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000097	TARA_B100000212	TARA_B100000378	TARA_B000000557	TARA_B000000532	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000768	TARA_B100000780	TARA_B100000809	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100001013	TARA_B100000959	TARA_B100000953	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000700	TARA_B100000678	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100001245	TARA_B100001105	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001778	TARA_B100001559	TARA_B100001179	TARA_B100002029	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000255	TARA_B110000257	TARA_B110000975	TARA_B110000906	TARA_B110000913	TARA_B110000878	TARA_B110000494	TARA_B110000436
OM-RGC.v2.004697279	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter; Psychrobacter sp. P11F6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1439175435845E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.004839308	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9770362166996E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.004868285	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4814188504295E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8346487333479E-9	0	6.1164155876425E-9	6.3388548053443E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.004944411	Biota; Bacteria; Proteobacteria	1.641169812473E-8	3.4046304367169E-8	1.1129993152025E-8	1.5562616400841E-8	0	1.5916057267075E-8	0	0	0	1.1041121633048E-8	2.9746832286015E-8	1.5618906501028E-8	3.2956067128455E-8	9.4538465928736E-8	4.2393883477427E-8	0	0	6.6436500814736E-9	0	1.0232116774306E-8	0	0	5.7187359597922E-9	4.7851663115168E-8	0	0	1.6326132893996E-7	0	0	1.4820628294557E-8	1.2093311031918E-8	0	8.4861459695497E-9	1.6991778777667E-8	5.5266054577467E-8	0	1.6162765264468E-8	6.2617687531312E-9	0	0	7.9656451259647E-9	7.5282998741645E-8	0	1.3771452974915E-8	3.251334526121E-8	0	0	0	9.0035343602629E-9	0	0	0	8.0739348066151E-9	6.1551902204569E-9	0	7.2448653491625E-9	1.9427594856795E-7	1.7551278831827E-8	0	1.3756613813338E-8	6.9630238346122E-9	0	6.9512320543305E-9	7.0492430534664E-9	6.7513167738452E-9	3.6413394112905E-8	5.7851901076936E-8	7.1278083921035E-9	9.4780158520497E-9	8.9260813190571E-9	1.2092970529355E-9	0	0	8.7310357400048E-9	2.4009890262598E-9	3.7606494430047E-8	1.7090404581931E-9	0	0	0	2.9463746778093E-8	4.026397867079E-8	8.1519049305493E-9	8.0329838967228E-9	3.6541052114254E-8	1.6120403476618E-9	0	9.9119003448338E-9	0	4.6843634532155E-9	0	1.7720626549866E-8	6.9955856400401E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.005083322	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	3.4268576109676E-9	4.5906476109609E-9	0	0	0	0	0	0	0	0	0	0	0	0	9.9812831073513E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.147332296677E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.005134458	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	1.2840742332871E-8	0	3.3119606386188E-8	4.286200180654E-9	3.1332276045685E-8	4.5105709013973E-9	0	0	0	0	0	0	0	0	0	0	0	5.6907949327277E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7333848924782E-9	0	0	1.5245056577341E-8	0	0	7.4414747963712E-9	0	0	0	0	0	0	0	0	0	0	0	2.1547601093512E-8	0	0	0	0	0	7.1248430649698E-9	0	0	0	0	0	0	0	1.2445850689415E-8	0	0	0	0	0	0	0	0	0	2.309766488357E-8	5.4711609500451E-9	0	0	9.3188146661226E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.5026307821189E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.005673785	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Pseudoalteromonas sp. BSi20480	0	6.06753104583E-9	0	0	0	8.5173197709347E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.640106157962E-8	0	0	0	0	0	0	0	0	0	0	8.1192999313545E-9	0	1.8555990611253E-8	1.1606517363554E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4334588716998E-8	0	2.0963035636246E-8	9.3819523836363E-8	2.1112520877169E-8	3.8037410863293E-8	3.15189317519E-8	4.1180188445716E-6	0	1.0761460658683E-8	3.1732243389048E-6	9.3800167539477E-8	2.7479131915869E-8	7.0763782620134E-8	2.5255854372979E-8	1.1597032263035E-5	9.4394390486853E-7	9.1302653120864E-9	0	0	0	0	0	0	0
OM-RGC.v2.005751888	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.143076687808E-9	0	0	0	0	0	0	0	0	0	0	0	0	9.2663951960008E-9	0	1.2524984388551E-8	1.8318501276748E-8	1.6598457739611E-8	1.3926242400609E-8	8.6194653099059E-9
OM-RGC.v2.005757244	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Halomonas; Halomonas sp. KO116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4691980291768E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
