		TARA_023_DCM_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_066_SRF_0.22-3	TARA_076_MES_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_098_MES_0.22-3	TARA_102_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_110_MES_0.22-3	TARA_111_MES_0.22-3	TARA_122_DCM_0.22-3	TARA_128_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_133_MES_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_155_MES_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_173_DCM_0.22-3	TARA_175_ZZZ_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_194_DCM_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3
Gene_ID	taxonomy	TARA_E500000081	TARA_B100000315	TARA_B000000557	TARA_B000000532	TARA_B000000475	TARA_B100000749	TARA_B100000767	TARA_B100000768	TARA_B100001013	TARA_B100000902	TARA_B100000929	TARA_B100001079	TARA_B100000585	TARA_B100000700	TARA_B100000614	TARA_B100001245	TARA_B100001105	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001142	TARA_B100001741	TARA_B100001750	TARA_B100001559	TARA_B100001564	TARA_B110001440	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000085	TARA_B110000112	TARA_B110000206	TARA_B110000235	TARA_B110000257	TARA_B110000966	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000494	TARA_B110000481	TARA_B110000465	TARA_B110000457	TARA_B110000436
OM-RGC.v2.003268116	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola; Glaciecola punicea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.324604151066E-8	5.3953812777538E-8	1.1554954508958E-9	6.7311718022586E-9	0	0	0	0	0
OM-RGC.v2.003368475	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola; Glaciecola punicea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.152099036568E-7	0	1.6392910081911E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003543265	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas	0	1.2357497096421E-8	2.1714327585686E-9	7.0307908940892E-9	0	2.6315130738345E-9	0	0	7.1364400067726E-9	0	2.0637389219572E-8	7.409076327764E-10	3.4172233088963E-9	2.0353384914656E-8	7.7968016914981E-9	2.1067670103962E-8	4.6368991825126E-8	7.0640183253575E-9	7.9379980838202E-7	9.2615919974056E-9	7.3673474636341E-9	7.0776828615863E-9	9.5461862540147E-10	0	5.4653956975796E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.010623812	Biota; Bacteria	8.3016248484268E-9	0	0	0	5.7751002492691E-9	0	2.1451568266081E-7	2.2740724456571E-8	0	3.6656480285098E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0856307506631E-9	0	6.569259346941E-9	0	3.0569050718739E-9	0	0	2.7918764979773E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.014881779	Biota; Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2988123305888E-8	0	2.3330577645777E-7	0	0	1.1834617216316E-8	2.7247998942364E-8	1.1856407521539E-7	8.72136323503E-9	3.1505309986389E-8	4.0187136246158E-8	7.6243963516864E-9	1.1031084273628E-8	0	1.9507187529872E-7	0	2.8755078842525E-7	3.4856921419283E-7	5.4608693054893E-9	5.6454716291771E-8	2.4851994056492E-8	1.9873701675235E-8
OM-RGC.v2.020404659	Biota; Bacteria	0	0	0	0	1.9955514799232E-8	0	3.1952155832267E-9	1.0863128831798E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5641729063441E-8	2.6880287847E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.023828010	Biota; Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2746795734393E-9	0	2.1112520877169E-8	0	2.6824486902649E-7	1.6078052449834E-8	0	0	0	1.6949139801643E-7	0	3.4359994756925E-8	3.6574108192055E-8	0	0	0	2.765113163775E-7	0	4.36700389814E-7	3.2927220834509E-7	4.686097060523E-9	8.5048038879579E-8	0	8.5707677657977E-9
OM-RGC.v2.029142478	Biota; Bacteria; Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9792138979664E-8	0	0	0	4.4576331790358E-8	0	0	0	0	6.8714551544383E-8	0	3.2821361390224E-8	0	2.1234974163309E-8	0	0	1.6427954363159E-7	0	1.6143442102737E-7	2.2758483401537E-7	0	0	0	1.0511659018319E-7
OM-RGC.v2.003927743	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
