OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
9	TARA_E500000081	TARA_023	DCM	[0.22-3µm]	42.1735	17.7252	TARA_023_DCM_0.22-1.6	TARA_023	ERS477998	ERR315859|ERR315860	SAMEA2591098	SEQ-(100L)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_E500000081	2009-11-18T13:50	-1183	15.180558	38.47375	28.613475	57.9209	0.0656	55	0.054743	224.264417		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1735	17.7252	0	autumn	middle	-0.354776	0.078584	3.583333
23	TARA_B100000315	TARA_037	MES	[0.22-3µm]	20.8457	63.5851	TARA_037_MES_0.22-1.6	TARA_037	ERS488769	ERR599062|ERR599031	SAMEA2619970	SEQ-(10L-or-15min)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	TARA_B100000315	2010-03-12T17:08	-3391	11.984006	35.672725	27.130513	422.5596	0.00135	600	0	2.81625	31.290804	0.001387737	0.028889008	0.005607758	0.000920977	2.88692	1261.87	233.29707336426	0.00044534083281178	0	0		0	0							49	30	13	587	95							0	0	0	0	0	0	0.0004	0.0002	20.8457	63.5851	0	winter	late	-0.087532	0.06187	0
40	TARA_B000000557	TARA_058	DCM	[0.22-3µm]	-17.2855	42.2866	TARA_058_DCM_0.22-3	TARA_058	ERS489846	ERR599026	SAMEA2620734	SEQ-(100L)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_B000000557	2010-06-29T15:00	-2179	25.113925	35.162694	23.430525	176.4077	0.117225	66	0.115195	181.101938	0.820273	0.001000181	0.011099947	0.00756411	0.013670703		317.4385	56.246688842773	0.00014717548037879	0.005	0.016		0.061	0.0041		0.025376	0	0.063072	2.513803	37	71	99	26	132	95	0.210375	0.715193	3562.085507	6.639076129	15237.9	0.739734701	0.0582	0.0056	0.016	0.0045	0.1508	0.0044	0.0895	0	-17.2855	42.2866	0	winter	early	0.557628	0.197237	0
41	TARA_B000000532	TARA_062	SRF	[0.22-3µm]	-22.3368	40.3412	TARA_062_SRF_0.22-3	TARA_062	ERS489877	ERR599012	SAMEA2620756	SEQ-(100L)_W0.22-3	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	3	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_B000000532	2010-07-03T08:09	-1548				10.6591		5				0.000909214	0.012337432	0.017541743	0.033863571	1.56105	343.789	53.023727416992	0.00011114501103293											71	76	81	422	934	91			3426.68185	6.642943018	13749.9	0.745880872									-22.3368	40.3412	0	winter	early	-0.113784	0.04422	8.944444
49	TARA_B000000475	TARA_066	SRF	[0.22-3µm]	-34.9449	17.9189	TARA_066_SRF_0.22-3	TARA_066	ERS490124	ERR598973|ERR599173|ERR599068	SAMEA2620929	SEQ-(100L)_W0.22-3	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	3	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_B000000475	2010-07-15T12:22	-2031	15.013362	35.3233	26.2141	79.9944	0.1611	5	9.435831	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	108.12380981445	0.00026346182858106	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	91	31	100	14	451	106	0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.9449	17.9189	0	winter	early	0.143048	0.098545	0
60	TARA_B100000749	TARA_076	MES	[0.22-3µm]	-20.9315	-35.1794	TARA_076_MES_0.22-3	TARA_076	ERS490633	ERR599154|ERR599000	SAMEA2621232	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_B100000749	2010-10-17T09:05	-3907	4.664275	34.369569	27.220344	36.257	-0.0063	800	0	191.413187	33.940795	0.000776878	0.011959192	0.013930039	0.013453111		192.574	24.611780166626	9.3079768703319E-5	0	0		0	0						52	126	143	65	581	900	0.337256	0.578854	6449.138881	6.890998596	21377.9	0.731395365	0	0	0	0	0	0	0	0	-20.9315	-35.1794	0	spring	early	0.084131	0.027592	0
65	TARA_B100000767	TARA_082	DCM	[0.22-3µm]	-47.2007	-57.9446	TARA_082_DCM_0.22-3	TARA_082	ERS490928	ERR599027|ERR599122	SAMEA2621423	SEQ-(10L-or-15min)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	TARA_B100000767	2010-12-06T18:58	-3510	7.154875	34.05055	26.649733	455.529	0.57815	40		306.1555	18.047311	0.000290781	0.125833504	0.274188709	6.387227853		776.804	107.0161819458	0.0012901481823064							0.1185	1.356	18.525	2.661	18	42	62	24	129	66	0.476837	0.724874													-47.2007	-57.9446	0	spring	late	0.056052	0.202122	0
66	TARA_B100000768	TARA_082	SRF	[0.22-3µm]	-47.1863	-58.2902	TARA_082_SRF_0.22-3	TARA_082	ERS490885	ERR599009|ERR599035	SAMEA2621401	SEQ-(10L-or-15min)_W0.22-3	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	3	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[FKLD] Southwest Atlantic Shelves Province (MRGID:21469)	TARA_B100000768	2010-12-06T10:33	-2858	7.579417	34.05025	26.589567	835.6982	0.2258	5		303.147667	18.434187	0.000290781	0.125833504	0.274188709	6.387227853		750.169	130.0122756958	0.0014030995080247							0.146	1.302	18.005	1.945	55	44	64	74	952	59	0.476837	0.724874	3890.121166	6.358772575	12924	0.761434925									-47.1863	-58.2902	0	spring	late	0.056052	0.202122	0
76	TARA_B100001013	TARA_098	MES	[0.22-3µm]	-25.8076	-111.691	TARA_098_MES_0.22-3	TARA_098	ERS491767	ERR599071|ERR599085	SAMEA2622048	SEQ-(100L)_W0.22-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	TARA_B100001013	2011-04-04T13:55	-3087	7.96837	34.3655	26.78725	273.3783	-0.00072	488	1.0E-6	154.6701	24.271551	0.000233155	0.007986359	0.029286791	0.010698052	1.44693	80.7461	18.082239151001		0	0		0	0		0	2.023	27.2885	12.05	64	168	72	98	460	411	0.187939	0.317446	4911.566965	6.538486008	17162.4	0.727779536	0	0	0	0	0	0	0	0	-25.8076	-111.6906	0	autumn	early	-0.006839	0.028784	0
82	TARA_B100000902	TARA_102	DCM	[0.22-3µm]	-5.2669	-85.2732	TARA_102_DCM_0.22-3	TARA_102	ERS492012	ERR599168|ERR598962|ERR599007	SAMEA2622219	SEQ-(10L-or-15min)_W0.22-3	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	TARA_B100000902	2011-04-22T21:13	-4117	19.781235	34.884385	24.729155	444.5005	0.33192	40	0.640251	104.9968	18.72477	4.398E-6	0.034300595	0.573159586	7.140994549		598.95	65.702842712402	0.00035939406370744	0.0334	0.018		0.038	0		1.202	1.8615	24.3645	10.5045	34	39	44	14	238	48	0.507222	0.75472	4240.666905	6.781488894	15878.3	0.741419505	0.031	0.0058	0.018	0.0036	0.0663	0	0.0877	0.0084	-5.2669	-85.2732	0	autumn	middle	0.043188	0.012324	0
