		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_MES_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_173_DCM_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_188_SRF_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_209_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000178	TARA_A100001011	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001440	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110000085	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000233	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000303	TARA_B110000906	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000465	TARA_B110000442
OM-RGC.v2.006180315	Biota; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.672261827963E-8	0	9.7697982903003E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.362405667433E-8	4.3750374734809E-8	0	7.0560932199339E-9	0	1.6771381451547E-9	0	0	0	0	0	3.7136723011883E-8	0	0	1.1106114433928E-8	1.3827362855305E-8	0	1.8801732207316E-8	0	0	1.7058355170414E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.006202427	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	1.823725482119E-9	0	0	8.8352660104597E-9	9.3728661290268E-9	0	0	9.0248823993102E-9	0	4.6923552184944E-9	7.6663923855987E-9	0	3.865387282823E-9	0	7.2312662918078E-9	3.3111729231178E-8	1.0464466847106E-8	3.0598706371227E-9	1.1044446620809E-9	4.7746574977447E-8	5.5120258929074E-9	1.0781834481398E-11	0	0	0	0	0	0	0	0	0	0	5.9108717318393E-9	4.2141092797753E-9	0	0	0	0	1.5858566125854E-8	0	0	0	8.2753474243759E-9	0	0	0	3.078961497858E-8	0	8.3430214548793E-9	6.5556591658801E-9	0	0	0	0	1.2598005503737E-8	0	0	0	0	0	0	1.0704977100747E-8	0	0	0	1.0870280315786E-8	0	0	1.0696559841207E-8	0	0	8.3080384682894E-9	0	0	9.0203339235035E-9	0	0	4.1435059961907E-9	0	0	6.4316441825098E-8	0	9.1766745831861E-9	3.1783460285905E-8	0	1.360486726359E-8	0	0	0	2.458887952532E-8	0	0	0	2.5372747976096E-8	0	0	0	1.796813041283E-9	0	0	1.0833068638022E-8	0	0	0	0	0	0	0	2.8938575342394E-8	0	6.0733649399948E-9	0	0	0	0	2.8628834117603E-8	0	0	3.6647931731166E-9	7.3806901627346E-9	7.7717944243462E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.006233091	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7317228319485E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.006372964	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Thioclava; Thioclava sp. DLFJ4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9686386791249E-8	0	2.9151596904046E-8	9.181879805524E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.007790555	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae; Idiomarina; Idiomarina baltica OS145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8084967286205E-9	5.2194089825185E-8	0	0	0	0	0	0	9.358239296043E-9	1.1801578867209E-8	0	0	0	0	0	0	4.1503973291006E-9	2.9291254293975E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1359291743433E-8	4.7860797731506E-8	2.210682373664E-8	0	8.9014163380243E-9	0	0	0	0	0	2.4103487716596E-8	4.5067771099141E-9	7.0566597607976E-7	1.9627315417865E-8	0	0	1.0323216004142E-8	0	0	0	8.1998209871113E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.763903442794E-9	0	0	0	4.3018411110514E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.007837428	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Teredinibacter; Teredinibacter sp. 1162T.S.0a.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9607936698859E-9	0	0	0	0	0	0	0	0	0	1.599312926706E-8	0	4.3916977376673E-9	1.5600644594919E-8	2.8491979120091E-8	0	2.2544641200143E-8	0	0	0	2.4948433076919E-8	0	8.2447669295646E-8	2.4949003460681E-8	1.4761400463541E-7	0	2.8390342634084E-7	5.0605915886756E-7	1.6841514001218E-8	3.5585102638031E-7	0	0	5.7075945811176E-7	0	0	0	0	3.1854969504826E-7	0	0	7.1160847856916E-8	0	9.7991823019033E-9	3.3862744030307E-9	1.5858853319754E-8	0	0	5.9350281307332E-8	0	7.7719920694714E-8	0	1.0391781367913E-8	0	0	0	0	0	0	7.4595855243426E-9	0	2.7407049631871E-8	0	0	1.4631158747342E-8	0	0	9.178269654184E-9	0	5.5833873413396E-8	2.0272750137553E-8	0	8.6578287764195E-9	0	0	2.0113619958028E-8	0	3.1841132069234E-8	0	0	0	6.929992372833E-9	0	3.1539803383973E-9	0	0	7.3076030951884E-9	0	0	0	0	0	0	2.5544518607939E-8	2.2124669658926E-8	9.5042778820135E-9	1.0754299869296E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.007953196	Biota; Bacteria; Proteobacteria	0	0	0	6.8859032035551E-9	1.209833208342E-7	0	0	3.1945145411584E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2965867759191E-8	3.0291828623045E-7	1.2525212678476E-8	7.581224465934E-8	3.450894714089E-8	0	6.4049844914245E-9	3.3875033453584E-8	0	0	0	0	0	0	3.999813463909E-8	0	8.8065048127357E-9	0	0	0	0	0	3.9067129067237E-8	4.0119834629454E-8	1.117535116626E-7	0	1.0145482435538E-8	1.9447412929227E-7	0	1.3341329600303E-7	3.8808954827735E-7	0	3.4681200793134E-8	1.3366308452528E-7	0	0	0	0	0	0	0	0	0	0	0	8.2963572530655E-9	0	0	7.7964961423652E-8	3.0845293564853E-7	2.1065317573565E-8	0	0	0	0	9.3441883906204E-9	0	0	0	0	0	0	0	0	0	7.0535451488183E-9	0	7.8833551370698E-9	0	3.1789195614379E-8	0	5.7829205223646E-9	1.5516628989537E-8	1.0371700311047E-7	0	0	0	1.7048486817426E-8	9.1883043684705E-8	4.3972777690537E-9	0	1.2858682264536E-7	1.1674275192587E-8	0	8.2744369462655E-9	0	7.4115051740112E-9	9.8311941558273E-9	5.0708596869431E-9	7.2590788443357E-9	0	0	1.1077361192044E-8	0	8.2001007464965E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008139247	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1688452485621E-9	0	0	0	0	0	3.3440578609855E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6686911676273E-9	1.9791179491665E-8	0	5.4100948837734E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009219890	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2842776509876E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0203753411156E-7	2.1331386480945E-7	8.4031500714885E-9	0	3.7305002969251E-8	0	0	4.4092155353715E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
