		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.002909540	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	1.1290813318252E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.984003693729E-9	0	0	2.6755955224382E-9	0	0	6.2523232519271E-8	5.5281559377716E-8	1.6786295055516E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6944147603038E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7424719589695E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002937961	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales	6.9392115920444E-9	9.6165741324499E-9	5.4750169181393E-9	1.0668368085265E-7	2.0674278750227E-8	3.2858238009832E-8	0	0	0	2.9092518967177E-9	0	9.8923838867115E-9	3.2814093979378E-7	0	0	0	0	0	0	0	0	1.9680791022527E-8	3.0985092182501E-8	1.3499508202154E-7	0	0	7.7554509116726E-8	2.757704831305E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0902684862781E-9	0	0	1.7117190548791E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01490899145E-8	1.7654993012815E-9	2.8039048038804E-8	0	1.4655903402301E-8	0	0	0	0	0	1.1051046653421E-9	0	0	0	0	0	6.7438926503316E-9	0	4.1713103633205E-9	0	0	6.1958829569678E-9	0	2.34375559569E-8	6.9243221150816E-9	9.4450684079439E-9	0	0	1.1224491126504E-7	5.4775422373989E-8	0	5.8114776029712E-9	1.8363935024186E-9	4.259478445138E-7	0	2.5320940937334E-7	6.1496894024484E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002941585	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales	0	0	0	1.0838478738131E-8	0	4.1217521957208E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2221463776379E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6662063328996E-8	0	0	4.1090810778899E-8	0	1.7067209270334E-8	2.1052072089491E-7	1.5701236096234E-6	4.4047289907923E-7	2.7175832296531E-5	1.780971299434E-6	1.3505571894521E-7	8.274316281974E-7	1.71730350397E-7	1.8987714188341E-7	8.7046278353137E-8	1.4954573889687E-7	0	5.9754449121658E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1508227531385E-9	0	0	0	0	0	0	0	0	0	0	2.1901355500411E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003020685	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8911785084569E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003022313	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter	0	3.7623936677059E-9	0	0	0	4.48589841295E-9	0	0	0	0	1.5500037657878E-9	0	0	2.6480979868469E-9	0	0	0	6.1793028021937E-9	0	0	0	0	0	0	0	0	1.7493753441997E-8	0	2.3447548028211E-9	0	0	0	0	0	2.3967286662772E-9	0	0	0	4.4419915968082E-9	0	7.0111069420803E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7214390499479E-8	5.0313909059026E-7	0	5.3276597679887E-9	0	0	0	0	0	0	0	0	0	3.9530409228698E-8	8.7562052645833E-9	0	0	2.0302770895737E-8	0	0	2.1964103565604E-8	0	0	0	0	2.258881901891E-9	0	0	0	5.0926338928038E-9	0	0	0	0	0	0	0	0	0	0	0	2.8942766923146E-9	0	3.7946354888197E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6245256455071E-9	4.3521243689105E-9	0	0	0	0	7.7063456115508E-9	5.9791301007394E-9	0	0	8.0638189916934E-9	1.8589524193807E-8	0	0	0	0	0	0	2.0959599043827E-9	0	0	4.0673271501072E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003053021	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oleiphilaceae; Oleiphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5979279492478E-8	1.5673543060202E-8	5.6982108352553E-8	5.6629797164653E-9	4.252951229331E-7	1.5392056770439E-7	2.8859521183328E-7	3.9336856619206E-7	4.0792379734773E-8	1.2034483872729E-7	1.8847085296421E-7	7.3202280744372E-8	2.4016040445875E-8	1.7671609755836E-7	0	1.7064065712336E-8	6.0207197144372E-8	6.428803512154E-8	1.3573771669664E-7	0	4.412607681511E-8	0	0	5.4390577835112E-9	4.4790220482745E-9	0	2.5017729435062E-8	5.6069892084805E-8	1.9359594135236E-8	1.7153875887934E-8	3.8826955560694E-8	5.5203123029613E-9	1.1208637563724E-8	1.0278563928144E-8	5.0839922186267E-9	6.4089038726895E-9	0	0
OM-RGC.v2.003103263	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas; Alteromonas australica	0	0	0	0	0	0	0	0	0	9.362122448481E-9	0	0	0	0	0	0	0	0	0	2.1946005518465E-9	0	0	7.063513832593E-9	0	0	0	1.9402906555876E-9	1.5475683905197E-9	4.5664232707669E-9	0	0	0	0	0	0	6.1198721928758E-9	0	0	2.068973770668E-8	0	2.7900224361482E-8	4.2898651854962E-8	0	8.2600084442421E-9	5.5346426720789E-8	0	0	0	0	1.2295207278001E-7	0	1.8411923249598E-8	6.8202159031107E-8	9.34827555097E-8	1.1445581599156E-7	1.9304054703923E-7	1.366264908935E-8	2.7506744028627E-7	2.3237490771999E-7	0	0	2.2145696756229E-8	0	2.1181254453426E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7652398030675E-8	6.8260863830113E-8	0	1.3828538528236E-8	1.0998872113579E-7	0	5.1862410357158E-8	4.3051964559177E-7	1.3899237854801E-8	1.0632543733523E-7	2.514962376474E-8	5.7515242034805E-8	0	2.5545849796863E-8	1.3183010157801E-8	0	3.6358392083758E-8	0	7.0218814513266E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15287569445E-8	0	0	0	0	0	0	0	1.1469705096821E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003126252	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas	0	9.1623961820847E-9	2.3146167302435E-8	7.5338141991739E-8	2.9439139817103E-8	6.5241200942042E-8	0	0	0	0	0	0	0	0	0	0	0	3.1733324917713E-9	0	0	0	0	0	0	0	0	2.3158502207563E-8	2.5016794752864E-8	1.8810920611607E-7	6.2308972850287E-9	2.1428563031244E-8	0	4.012851569831E-9	7.7285906731217E-8	8.3670688588318E-8	0	0	6.5479229139521E-9	5.9502897669516E-9	0	0	1.0066490707503E-7	0	7.1724633993161E-8	4.1332243507251E-8	0	0	7.0521849180738E-9	0	1.5591853308823E-8	1.3726018202384E-8	9.9621886664354E-9	2.8078190333173E-8	1.5082233561924E-8	7.685113633486E-8	1.642572974289E-8	6.4745851996774E-8	4.5528300903557E-8	5.8046027915996E-8	7.6173766378134E-8	5.8671525879418E-9	2.2640583522419E-8	4.7491239921842E-9	5.0290472007221E-9	0	6.5323458538595E-9	0	7.6712854942538E-9	0	0	3.3605841391454E-7	2.6343259112959E-7	4.0733369693763E-8	0	1.3688989467572E-8	1.9929519623348E-8	2.813288862348E-8	8.9860990293737E-7	4.6247449654403E-7	1.0221412109869E-6	5.5132638506715E-8	9.3788187803555E-8	2.2995809553076E-8	5.309985472194E-9	1.8374747196025E-7	0	1.2102851880788E-8	5.2589571811942E-8	2.3539378382874E-7	9.4470209177126E-9	3.4567562846331E-7	8.8908196027269E-8	6.8332439098793E-9	9.2437200822763E-8	7.7757371585659E-8	9.0292178835914E-7	2.7569506719058E-7	4.6304185947842E-7	2.2614991561796E-7	3.8606543738425E-8	2.1061292564689E-7	8.5980231077339E-8	5.0878685438161E-6	5.7957825613584E-9	4.2616066796592E-8	1.0180232062566E-8	0	7.3643889443522E-8	0	0	5.9849166300254E-9	0	2.9143173386599E-8	8.9226139054498E-8	5.1524201650684E-9	5.7343453607901E-8	2.0042165627691E-7	9.6650585633441E-8	1.1630279112361E-7	4.8982526640284E-9	0	7.7939177207676E-9	6.6961957805177E-9	6.1227418906986E-9	0	1.309815226718E-8	0	0	0	0	0	2.5113211483019E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003135924	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2440195521314E-9	0	5.2418291383682E-9	0	0	0	4.0101917037175E-9	0	0	5.6005200990466E-8	5.6842685043464E-9	0	4.9361410649524E-7	0	6.8428000113364E-8	4.6470321703746E-8
