		TARA_004_DCM_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_072_MES_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_E500000331	TARA_A100001011	TARA_A100001403	TARA_A100001234	TARA_B100000029	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000508	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000085	TARA_B110000235	TARA_B110000257	TARA_B110000283	TARA_B110000975	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.008924765	Biota; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6173625919187E-8	9.0480826183557E-8	4.9992676972927E-9	1.8311845039139E-8	0	0	0	6.7463694900618E-9	9.9483820483415E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0886445213812E-9	0	3.7653840510773E-8	0	0	0	0	0	0	0	0	0	7.7930269101166E-8	1.1526411096021E-7	4.5936621264237E-7	7.1879130046774E-8	1.4193034712973E-7	2.0543152495212E-8	3.0792325451344E-8	4.2342369978161E-8	9.0308400480922E-9	1.0518324463149E-7	0	2.7544455900288E-8	2.5099925760498E-8	0	0	0	9.4630313868879E-8	0	0	7.1754659446347E-9	0	9.0739676800403E-9	0	0	3.0727119453226E-8	1.5473753206553E-8	0	0	4.0054157953412E-8	5.7637246912715E-8	4.686746431726E-8	0	0	0	2.464912779605E-8	5.9264463360013E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011589467	Biota; Bacteria; Proteobacteria; Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9022659789005E-7	1.1668910451296E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012201405	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9940233216014E-9	9.5041771776101E-8	1.0161156177649E-6	7.6414956723291E-9	2.307417120189E-8	0	0	1.1820358381638E-8	0	1.0022352699953E-8	9.5904036914546E-9	0	8.0714303047964E-7	8.6520684791492E-9	2.1692199214667E-8	0	3.4873387248974E-7	8.2523912439916E-9	0	0	0	0	0	5.3755328460747E-9	6.2618589135319E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012750877	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.330694974121E-9	0	0	0	0	1.2259140890672E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012776599	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1068269160426E-9	0	1.1783046239156E-8	3.2824708403459E-8	0	7.7306905553392E-8	0	0	1.1878814596888E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012867234	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	2.9334923269167E-9	0	0	0	1.6673279736134E-7	0	6.7016142352226E-9	3.4756880796337E-9	1.3144814280584E-8	1.69818108973E-7	2.0033784125959E-8	0	0	0	0	0	0	0	0	0	0	0	0	2.0962072746536E-8	3.5084367948757E-7	8.8244241845886E-8	5.3541061421346E-8	0	2.2309603396E-8	0	0	0	3.0044939056751E-8	2.8708448192498E-8	4.5417598070341E-8	1.6790519886702E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012874189	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	1.0586209356277E-8	0	0	0	0	0	0	0	0	7.8447836138676E-7	0	0	0	0	2.2440847274894E-7	0	0	5.2068856893002E-8	0	0	0	0	0	9.4047223889953E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4011464825706E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012890063	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.249788081026E-8	2.217528283993E-8	1.4334672029575E-8	1.8092750998714E-8	8.3360426445856E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7695168079364E-8	2.8264051600036E-8	3.4574719219829E-7	3.1739907668089E-9	0	9.521874297567E-8	0	7.5603447326814E-8	1.4429112612346E-8	1.4034940062276E-7	1.2989078392814E-8	9.1507246666671E-9	9.4158126693289E-8	1.3131715433889E-7	1.0602566164452E-6	0	2.0125461048859E-8	0	0	1.0107940731327E-8	0	0	6.3551006091987E-8	1.0246316864543E-8	0	7.9800908409888E-8	1.83686307255E-8	0	5.2801122907295E-8	9.4302206408098E-9	5.3552796453375E-9	1.5440474861834E-8	0	0	1.2741142851712E-8	0	1.0873093830693E-7	0	1.3929635784069E-8	0	4.495650153363E-8	0	1.2892181604336E-8	0	0	3.4019271833149E-8	0	0	2.6910172692829E-9	3.0242431693344E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012935358	Biota; Bacteria; Proteobacteria; Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2138550048474E-8	0	0	0	0	1.9026568211717E-8	0	9.7323424436523E-9	0	0	0	1.9968379082982E-8	0	0	0	0	0	0	1.5395475959476E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2222062277882E-8	1.1766529924913E-8	0	1.3051775670668E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5348624352806E-9	0	0	3.9988547563209E-9	0	0	0	3.0441152007082E-8	0	2.710433300399E-8	2.3604401416541E-8	0	0	1.4166610188457E-8	8.2353417186101E-8	0	0	0	1.859626833475E-8	9.2457177373523E-8	2.8600452985739E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
