		TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_173_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_201_MES_0.22-3	TARA_205_MES_0.22-3	TARA_209_MES_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_A100001037	TARA_B100000029	TARA_B100000003	TARA_B100000073	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000902	TARA_B100000953	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110000083	TARA_B110000112	TARA_B110000913	TARA_B110000878	TARA_B110000465	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000060740	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0054649440597E-9	0	0	0	0	0	0	0	3.2093582758324E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8755902390255E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0952039037079E-10	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000063931	Biota; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03925698135E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000064273	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7567766957981E-9	8.103633948643E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1683143965524E-9	0	0	1.7362673270243E-9	0	0	0	1.3641624920053E-9	0	0	0	0	2.3251712005871E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2302462331345E-9	1.3363090094412E-9	0	0	0	0	2.6082758106917E-9	0	1.8600540383336E-9	1.0383522159715E-9	0	0	0	7.8876299399484E-10	0	0	1.4758408436828E-9	0	0	0	0	0	0	1.0596086299539E-8	1.9773567391619E-9	0	0	0	1.1193477874625E-8	1.1851511865173E-8	1.5205756749082E-8	1.303353064099E-9	1.8723779181826E-9	0	1.8701949044919E-8	2.5629141818225E-9	0	9.6704106382215E-9	2.9663073003471E-9	0	0	3.0354183399652E-7	0	0	1.7787761535374E-9	1.5420689522943E-9	0	1.2756689662268E-9	2.4259883899634E-9	0	5.5871717319103E-9	0	0	0	0	0	0	0
OM-RGC.v2.000078463	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	4.6117851668636E-11	0	0	0	0	0	1.1633479307827E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0567657066864E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1756941794359E-10	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000079457	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6311944036394E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9446718751356E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000471191	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	3.2099620031226E-11	0	0	0	0	2.4029405285331E-9	0	0	0	0	1.3442135529813E-8	0	3.4093866726969E-9	2.1072947037567E-9	2.9937393864412E-9	4.8074237668903E-7	0	6.4238462698456E-7	0	0	2.4198189081009E-9	0	0	0	0	0	0	0	0	3.7893840975677E-9	0	0	4.7543351069866E-9	0	0	1.0499619626993E-7	2.1196794454411E-7	0	0	5.163999666345E-9	1.5531313908036E-9	0	0	0	0	0	0	0	3.2405516938663E-9	0	3.7229016965375E-7	0	3.4103572200502E-8	0	2.1787990125175E-8	9.8392558430832E-9	7.3463870751973E-9	5.0051338464239E-8	0	1.3593760509671E-8	0	0	0	1.0389785355989E-9	2.3125088084725E-8	1.396429327683E-8	0	2.7229542979543E-9	0	2.800038845353E-9	0	0	1.0888862448794E-9	3.4712587247786E-9	0	2.8504888643625E-6	0	1.9032577955669E-8	3.9103434130464E-9	0	1.0878187112019E-7	6.2613501299277E-9	0	4.8462613959012E-9	1.5983121752871E-7	0	3.1277601190889E-9	2.8748231539612E-8	1.3354096495812E-8	1.2945510168668E-8	3.313555503024E-9	0	4.1802102182055E-9	0	0	0	0	0	0	0	0	0	1.9610483399794E-7	0	2.2969590579799E-9	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000646782	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Croceicoccus; Croceicoccus naphthovorans	0	0	2.0451029642184E-9	0	2.185579469326E-9	2.3530987707211E-9	0	2.2988719772297E-8	4.890120734306E-9	0	0	0	0	0	0	2.3335798555685E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0403258805949E-9	0	1.6463948588609E-8	0	0	0	0	0	0	1.5158275841478E-8	0	0	0	0	0	0	0	0	0	0	3.0654413877792E-9	0	0	0	0	0	0	3.1037692293575E-9	0	0	0	0	0	0	0	0	0	0	0	0	2.6547595390691E-9	0	0	0	7.660299820001E-9	9.1317222683617E-9	0	0	2.6830427696818E-8	0	4.0421826970038E-9	9.5665412141478E-9	0	0	1.4415128366055E-8	0	0	3.4689983576904E-9	1.6671376970037E-8	4.685784490604E-8	1.7876220396011E-9	0	0	5.7602480954388E-9	0	1.6750197291076E-9	1.0784118978593E-8	2.1107962019708E-8	0	0	0	7.3623851124383E-9	0	7.0424750255672E-9	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000694402	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Pseudoalteromonas sp. TB51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8102865088378E-7	3.9958834098477E-8	2.8540065318191E-6	1.0241338879721E-8	9.667035256757E-9	1.1198484772998E-8	1.1331908943997E-7	2.931319684255E-9	0	0	0	3.859599060039E-9	0	0	0	0	0	0	0	4.1957824773166E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3778052562478E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.001066674	Biota; Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.133007335334E-8	0	0	0	0	0	0	7.2737817624605E-9	1.5430244826193E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1916869159012E-9	0	1.6557489657192E-8	0	0	4.628746470298E-8	0	0	2.1884145545131E-8	0	7.563332725115E-8	1.3369361913358E-7	0	1.0757816401645E-7	1.9669825715387E-8	0	1.8971877244269E-7	0	5.112065082993E-8	0	1.0512051855967E-7	0	0	0	2.4397438345738E-9	2.6501923852019E-8	0	0	1.8387388808794E-9	0	0	0	0	0	0	0	0	0	0	0	0	4.6136491857899E-8	0	7.8581863794503E-9	0	0	8.6420061368522E-7	2.6343905258463E-8	0	0	0	6.4287070445157E-9	0	3.3437738013001E-7	1.5679150447024E-8	0	0	0	0	0	0	0	0
