		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.001839881	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7171738111131E-7	4.2278057858126E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4293503206394E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002062574	Biota; Bacteria	1.8801435247158E-8	0	9.6669578581738E-9	0	1.7528691047628E-8	0	1.577122692813E-9	0	0	0	0	0	0	0	0	0	0	1.0923184255878E-8	0	4.8279218041538E-9	0	0	0	0	0	2.1696868126469E-9	0	0	1.7649619897264E-8	0	3.7613266236826E-8	2.1974563669364E-9	6.6638141756628E-9	1.4542672242583E-9	0	0	0	0	1.9425554995463E-11	0	0	0	0	0	0	0	0	1.2475535770729E-8	1.0847144816058E-8	1.7521355211218E-7	0	0	0	0	6.5208588147193E-9	1.3989422985659E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4181230530656E-8	0	0	0	0	0	2.2941911053307E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5199054614568E-9	4.2133357854002E-9	0	0	0	0	1.4916220083604E-7	0	4.905795366454E-8	0	2.4928694532845E-9	2.3976009228545E-9	2.1587888642437E-7	0	2.8808362279528E-9	0	0	0	0	0	0	2.4039124949772E-8	0	0	0	0	0	0	8.497375346398E-9	3.0680938812692E-8	1.1296534044071E-8	8.4058408649881E-9	0	3.8459443549183E-9	8.0230392971898E-9	2.0940617540744E-8	8.5062931744533E-9	3.3963848677321E-8	5.4770875236742E-9	3.6926049360299E-9	5.0116642697515E-9	3.5313378461128E-9	0	0	3.1935178788651E-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8388515658343E-9	0	0	8.3796068918001E-9
OM-RGC.v2.002194757	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0750296686108E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5029771152345E-8	0	2.4754556250331E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002538755	Biota; Bacteria	0	0	9.9912903860373E-9	7.582486702535E-9	2.2128023836982E-9	0	0	0	0	0	0	0	0	0	5.1476655781293E-9	0	0	1.8359274376342E-8	0	2.9189419028401E-8	0	6.7800556334888E-9	0	1.4766786823353E-10	0	6.704288987165E-9	0	0	0	0	7.1380997168416E-9	0	0	0	4.905309344591E-9	0	0	8.5518982806397E-9	0	0	0	6.1755846189987E-9	0	8.7299008979823E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3286029452428E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8424741684941E-10	0	0	0	0	0	0	0	0	0	0	0	2.2569752533841E-8	0	0	0	0	0	0	4.138799324064E-7	2.2862139183718E-8	4.1679889377653E-8	0	1.339685816888E-8	1.7427173272354E-8	8.520261029698E-9	0	0	0	0	0	0	0	0	0	1.2234931708828E-8	0	6.1767081836615E-9	0	0	0	0	0	0	0	0	0	3.946639438435E-9	0	0	3.166348039837E-9	6.7975417236544E-9	2.7295441028404E-9	3.5976909288238E-8	3.2261560953592E-8	0	0	0	0	1.6781556787912E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.002713948	Biota; Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9922553641149E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9341813793408E-9	0	0	0	0	8.6859382965227E-9	0	0	0	0	0	4.8689426930051E-9	0	0	0	0	0	3.9666339135738E-8	0	0	0	0	0	0	0	0	0	0	7.5763292505703E-8	0	0	5.4400727107835E-9	0	0	2.300357489221E-8	0	0	2.8870925914896E-8	0	0	1.05621771651E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9913279509736E-8	0	0	2.0457635816958E-8	0	5.2273560567934E-9	0	0	4.4665362306909E-8	6.5541294372489E-9	0	0	0	0	0	0	3.3019072339175E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9069832031571E-8	0	3.253527257523E-7	0	0	2.3464305996015E-8	0	2.8895823075241E-8	2.6250098625076E-8	0	0	2.3414498917202E-7	0	0	0	6.3226155150962E-8	0	0	5.2752714342264E-7	0	0	0	0	0	0	0	4.654715886525E-8	0	6.7716545763761E-8	0	1.7537357391294E-7	0	0	2.6809076862001E-8	6.1592063191865E-9	4.3424011823683E-8	0
OM-RGC.v2.003161983	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1395742883937E-8	0	5.9125869192656E-7	0	5.4486116194352E-7	0	0	7.4460305977167E-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6328921193204E-7	0	0	0	0	0	0	0	0	2.6175443873873E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8555195811869E-7	9.7533736635591E-7	0	0	1.2123510358371E-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003227152	Biota; Bacteria; bacterium ADurb.BinA028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8848906312619E-8	0	6.6467172206937E-7	0	5.1855553025869E-7	0	0	4.7752356602386E-7	0	0	0	0	0	0	0	0	6.204284223093E-9	0	0	0	0	0	4.7002540907488E-9	0	0	0	0	0	0	0	0	1.4875487707013E-8	0	1.7238544131403E-8	0	0	6.5893325008421E-9	0	0	2.6191784700706E-9	0	0	1.3457845200597E-8	0	0	0	0	0	1.0459596926774E-7	0	0	0	0	0	0	0	0	0	0	2.3449792561602E-7	0	0	1.2702122452712E-7	0	0	6.5678724932241E-8	0	0	7.2125345868295E-8	0	0	3.5193630939322E-8	0	0	0	0	0	3.5205738759689E-8	0	0	0	0	0	0	0	0	0	0	1.2951592131792E-8	0	0	4.4653594430994E-8	0	1.4462894653046E-7	3.3317554028288E-7	0	0	2.6352625208486E-7	0	0	0	0	0	0	9.2432289646556E-8	0	3.1996874243678E-9	0	0	0	2.030108273761E-8	0	0	0	0	0	0	0	0	0	6.5964511054209E-9	0	0	1.7707179719505E-8	0	5.9855306703623E-9	0	0	0	0	0	0	0	0	1.7305392644102E-8	0	0	0	0	0	0	1.8171959614989E-8	0	0	0	0	0	0	0	2.177641957701E-9	0	4.6598719734408E-9	0	1.1675666575743E-8	0	0	0	0	0	0
OM-RGC.v2.003237583	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1332585938313E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1396264671273E-10	0	0	6.6069483420633E-9	0	0	0	0	0	1.3883788526514E-8	0	0	0	0	0	0	0	1.6311845661828E-8	0	1.6350404115639E-9	2.5663050871753E-8	0	0	0	0	0	2.6256762611248E-8	0	0	0	0	0	0	1.1119025927704E-8	0	0	0	2.1494906044767E-8	0	0	1.925910798764E-9	0	0	0	0	0	8.1639206107748E-9	0	0	2.2402035298211E-8	0	0	8.6163042297445E-9	0	0	5.6441441235768E-9	0	5.9216235774006E-9	0	0	0	1.2000503731545E-7	0	0	0	0	4.3421522753968E-8	0	0	7.9117778052363E-9	0	1.8092709211352E-8	1.1658184979694E-8	0	0	1.6960659828468E-8	0	0	0	0	5.1081881566595E-9	0	2.55466127164E-8	0	6.3993748487355E-9	0	0	2.0991368639606E-8	1.4783141385006E-8	0	0	0	5.0030000782764E-9	0	1.5987365924447E-8	6.131747887496E-9	0	0	2.2881439771859E-8	0	0	2.5859495134918E-8	0	5.6334406309454E-8	0	0	0	0	0	0	0	0	3.6732799608176E-8	0	0	0	0	0	0	1.9855256926652E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.003256297	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1154978213873E-8	0	0	0	0	0	2.3734322777138E-8	0	0	2.6421113720524E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6399429786848E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3773100001919E-8	0	0	0	4.5257088800349E-8	0	0	8.6100010916593E-7	0	0	7.8242551353434E-7	0	0	3.4341762941927E-7	0	6.856691211017E-8	2.3759068573256E-7	0	5.3761353340733E-7	4.4869915163455E-6	0	6.0648669631979E-8	1.3389213235894E-7	0	9.1542422322144E-8	0	1.8574634120194E-8	0	7.5245668923303E-8	0	0	0	3.2887081022052E-8	4.8661620113946E-8	0	0	3.9084638304617E-8	2.0126413691567E-8	0	9.015873948593E-9	0	0	4.0409797887711E-8	0	0	6.1679250722614E-9	4.6453395671839E-7	8.1960011388063E-6	6.6848601721098E-9	1.3607642034953E-6	0	4.1544874649601E-7	8.8587422283065E-9	6.8475766284737E-9	3.4043707038859E-7	4.7411307504471E-7	0	6.0123351238155E-9	5.9073875228089E-9	3.6500303872091E-8	5.521328587887E-9	3.8853668959514E-7	1.6775733884127E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
