		TARA_004_DCM_0.22-1.6	TARA_004_SRF_0.22-1.6	TARA_007_DCM_0.22-1.6	TARA_007_SRF_0.22-1.6	TARA_009_DCM_0.22-1.6	TARA_009_SRF_0.22-1.6	TARA_018_DCM_0.22-1.6	TARA_018_SRF_0.22-1.6	TARA_023_DCM_0.22-1.6	TARA_023_SRF_0.22-1.6	TARA_025_DCM_0.22-1.6	TARA_025_SRF_0.22-1.6	TARA_030_DCM_0.22-1.6	TARA_030_SRF_0.22-1.6	TARA_031_SRF_0.22-1.6	TARA_032_DCM_0.22-1.6	TARA_032_SRF_0.22-1.6	TARA_033_SRF_0.22-1.6	TARA_034_DCM_0.22-1.6	TARA_034_SRF_0.22-1.6	TARA_036_DCM_0.22-1.6	TARA_036_SRF_0.22-1.6	TARA_037_MES_0.22-1.6	TARA_038_DCM_0.22-1.6	TARA_038_MES_0.22-1.6	TARA_038_SRF_0.22-1.6	TARA_039_DCM_0.22-1.6	TARA_039_MES_0.22-1.6	TARA_041_DCM_0.22-1.6	TARA_041_SRF_0.22-1.6	TARA_042_DCM_0.22-1.6	TARA_042_SRF_0.22-1.6	TARA_045_SRF_0.22-1.6	TARA_048_SRF_0.22-1.6	TARA_052_DCM_0.22-1.6	TARA_052_SRF_0.22-1.6	TARA_056_MES_0.22-3	TARA_056_SRF_0.22-3	TARA_057_SRF_0.22-3	TARA_058_DCM_0.22-3	TARA_062_SRF_0.22-3	TARA_064_DCM_0.22-3	TARA_064_MES_0.22-3	TARA_064_SRF_0.22-3	TARA_065_DCM_0.22-3	TARA_065_MES_0.22-3	TARA_065_SRF_0.22-3	TARA_066_DCM_0.22-3	TARA_066_SRF_0.22-3	TARA_067_SRF_0.22-3	TARA_068_DCM_0.22-3	TARA_068_MES_0.22-3	TARA_068_SRF_0.22-3	TARA_070_MES_0.22-3	TARA_070_SRF_0.22-3	TARA_072_DCM_0.22-3	TARA_072_MES_0.22-3	TARA_072_SRF_0.22-3	TARA_076_DCM_0.22-3	TARA_076_MES_0.22-3	TARA_076_SRF_0.22-3	TARA_078_DCM_0.22-3	TARA_078_MES_0.22-3	TARA_078_SRF_0.22-3	TARA_082_DCM_0.22-3	TARA_082_SRF_0.22-3	TARA_084_SRF_0.22-3	TARA_085_DCM_0.22-3	TARA_085_MES_0.22-3	TARA_085_SRF_0.22-3	TARA_093_DCM_0.22-3	TARA_093_SRF_0.22-3	TARA_094_SRF_0.22-3	TARA_096_SRF_0.22-3	TARA_098_DCM_0.22-3	TARA_098_MES_0.22-3	TARA_098_SRF_0.22-3	TARA_099_SRF_0.22-3	TARA_100_DCM_0.22-3	TARA_100_DCM_0.22-3	TARA_100_SRF_0.22-3	TARA_102_DCM_0.22-3	TARA_102_MES_0.22-3	TARA_102_SRF_0.22-3	TARA_109_DCM_0.22-3	TARA_109_MES_0.22-3	TARA_109_SRF_0.22-3	TARA_110_DCM_0.22-3	TARA_110_MES_0.22-3	TARA_110_SRF_0.22-3	TARA_111_DCM_0.22-3	TARA_111_MES_0.22-3	TARA_111_SRF_0.22-3	TARA_112_DCM_0.22-3	TARA_112_MES_0.22-3	TARA_112_SRF_0.22-3	TARA_122_DCM_0.22-3	TARA_122_MES_0.22-3	TARA_122_SRF_0.22-3	TARA_123_MIX_0.22-3	TARA_123_SRF_0.22-3	TARA_124_MIX_0.22-3	TARA_124_SRF_0.22-3	TARA_125_MIX_0.22-3	TARA_125_SRF_0.22-3	TARA_128_DCM_0.22-3	TARA_128_SRF_0.22-3	TARA_132_DCM_0.22-3	TARA_132_MES_0.22-3	TARA_132_SRF_0.22-3	TARA_133_DCM_0.22-3	TARA_133_MES_0.22-3	TARA_133_SRF_0.22-3	TARA_137_DCM_0.22-3	TARA_137_MES_0.22-3	TARA_137_SRF_0.22-3	TARA_138_DCM_0.22-3	TARA_138_MES_0.22-3	TARA_138_SRF_0.22-3	TARA_140_SRF_0.22-3	TARA_141_SRF_0.22-3	TARA_142_DCM_0.22-3	TARA_142_MES_0.22-3	TARA_142_SRF_0.22-3	TARA_145_MES_0.22-3	TARA_145_SRF_0.22-3	TARA_146_MES_0.22-3	TARA_146_SRF_0.22-3	TARA_148_SRF_0.22-3	TARA_148b_MES_0.22-3	TARA_149_MES_0.22-3	TARA_149_SRF_0.22-3	TARA_150_DCM_0.22-3	TARA_150_SRF_0.22-3	TARA_151_DCM_0.22-3	TARA_151_SRF_0.22-3	TARA_152_MES_0.22-3	TARA_152_MIX_0.22-3	TARA_152_SRF_0.22-3	TARA_155_DCM_0.22-3	TARA_155_MES_0.22-3	TARA_155_SRF_0.22-3	TARA_158_DCM_0.22-3	TARA_158_MES_0.22-3	TARA_158_SRF_0.22-3	TARA_163_MES_0.22-3	TARA_163_SRF_0.22-3	TARA_168_DCM_0.22-3	TARA_168_MIX_0.22-3	TARA_168_SRF_0.22-3	TARA_173_DCM_0.22-3	TARA_173_DCM_0.22-3	TARA_173_SRF_0.22-3	TARA_175_SRF_0.22-3	TARA_175_ZZZ_0.22-3	TARA_178_SRF_0.22-3	TARA_180_SRF_0.22-3	TARA_180_DCM_0.22-3	TARA_188_DCM_0.22-3	TARA_188_SRF_0.22-3	TARA_189_DCM_0.22-3	TARA_189_MES_0.22-3	TARA_189_SRF_0.22-3	TARA_191_SRF_0.22-3	TARA_193_SRF_0.22-3	TARA_194_DCM_0.22-3	TARA_194_SRF_0.22-3	TARA_196_SRF_0.22-3	TARA_201_DCM_0.22-3	TARA_201_MES_0.22-3	TARA_201_SRF_0.22-3	TARA_205_MES_0.22-3	TARA_205_SRF_0.22-3	TARA_206_MES_0.22-3	TARA_206_SRF_0.22-3	TARA_208_SRF_0.22-3	TARA_209_MES_0.22-3	TARA_209_SRF_0.22-3	TARA_210_MES_0.22-3	TARA_210_SRF_0.22-3
Gene_ID	taxonomy	TARA_X000000368	TARA_X000000263	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001403	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_B100000034	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_B100000066	TARA_B100000085	TARA_B100000097	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000581	TARA_B100000585	TARA_B100000578	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100002029	TARA_B100001173	TARA_B110001437	TARA_B110001440	TARA_B110001435	TARA_B110001446	TARA_B110001449	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000091	TARA_B110000083	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000257	TARA_B110000253	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000913	TARA_B110000901	TARA_B110000878	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.000092923	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1939576825235E-10	2.7404538516445E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000098373	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0186824614613E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9803920285081E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0264767128778E-7	9.4347328738116E-7	0	0	3.410289484109E-8	0	0	6.9729375253126E-9	1.5711793866484E-9	7.0466548114806E-9	3.548348201256E-9	0	7.1259259574067E-9	6.4194522406951E-7	9.64982656234E-9	0	1.3267503486808E-8	0	2.3775654230601E-7	2.6242052367669E-9	0	0	0	0	0	0	0	7.2042017385134E-9	2.0181350765143E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000106529	Biota; Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5257984213485E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000117427	Biota; Archaea; Thaumarchaeota; unclassified Thaumarchaeota; Candidatus Nitrosotalea; Candidatus Nitrosotalea devanaterra	1.1380149470106E-7	3.5982014879008E-9	8.486928010903E-9	0	9.0953553977965E-8	0	0	1.6670117382552E-9	9.4968587874728E-9	0	2.3248212880113E-8	0	0	0	1.8728923261815E-9	4.2225523932798E-9	0	6.5066277834416E-9	4.0261386148361E-8	0	0	0	8.8162514206298E-9	6.7702348291813E-9	1.6394242082703E-9	0	0	2.9917383798582E-9	4.4523542595231E-9	0	5.9885278067475E-9	0	0	0	0	0	4.2650856188633E-8	0	2.5009427796467E-9	0	0	5.2243170116893E-9	5.7650252587845E-8	5.9666616727354E-9	2.7431281543074E-8	5.4242287437738E-8	8.2306820129289E-9	3.234947153055E-8	2.5286276441539E-8	0	6.9266722276661E-8	4.9288777437751E-8	2.6021869316657E-8	1.8932529779941E-8	0	5.2080143169201E-9	1.3444591634709E-8	0	3.3686911927587E-9	3.8999650305029E-8	0	7.2024287092251E-8	5.6713656181116E-8	0	0	0	0	0	2.8128046812264E-9	0	0	0	0	0	3.5865761358102E-9	7.0903895445928E-8	0	0	1.0837683246391E-9	9.2562254871305E-9	0	0	6.7730579117621E-8	0	0	2.7768299843967E-8	0	1.6765418465833E-9	2.9990355212149E-8	0	0	7.036758894036E-8	0	0	4.2738148628592E-8	0	0	5.6813299902331E-8	0	4.178648081234E-7	2.7603678773135E-9	3.6244596048549E-7	4.4780446820635E-9	3.5038862673736E-7	0	2.1221554957774E-8	8.0649235025756E-9	3.8327839780097E-8	3.5904171627183E-8	0	0	4.2053421621067E-8	0	6.0069485488909E-9	2.1870562691465E-8	0	4.5428109263265E-8	3.4481374778368E-8	0	0	0	8.7009989138527E-9	7.5395549978667E-8	1.1148938212689E-9	8.3345823987218E-9	2.0909995648992E-8	7.0960953199795E-8	2.1744960766941E-8	1.1374662088268E-8	3.7135649452374E-8	7.4890097128326E-8	1.7950114606245E-8	4.3378282163988E-9	2.4210146344012E-8	2.7742954252071E-7	4.9922012648912E-9	4.0879204007897E-8	2.2005792744192E-7	1.4215090789063E-7	7.4953314442654E-9	2.3785102038534E-7	9.1180833198413E-9	0	3.6463531752252E-8	0	1.2710083663097E-8	0	0	0	0	0	0	0	0	7.2413738669946E-9	0	0	0	0	0	0	5.1173194694666E-9	0	0	0	0	0	0	0	0	0	2.4344404684572E-9	0	1.0317862067178E-9	0	0	0	0	9.9716072830038E-9	0
OM-RGC.v2.000120686	Biota; Archaea; Thaumarchaeota; unclassified Thaumarchaeota; Candidatus Nitrosotalea; Candidatus Nitrosotalea devanaterra	6.1679700321849E-9	0	0	0	1.346974668632E-8	0	0	1.6113406447997E-9	0	0	9.6048095707243E-10	0	0	0	0	2.7120414078716E-8	0	4.3992275996878E-9	2.3091673013704E-8	0	0	0	1.1213038372773E-9	4.0582497885444E-8	0	0	0	0	6.4921404316706E-8	0	2.1298499162736E-8	0	0	0	0	0	5.1968348094402E-9	0	4.2621108882843E-9	1.6610808912658E-9	0	2.4494755799801E-9	5.5677087070172E-9	2.2533042173733E-9	1.8478610655419E-8	5.5449757244047E-9	3.9455980886923E-9	1.8375125094054E-8	4.427560681039E-8	1.0883579271744E-8	1.0033486458928E-7	1.6002310365242E-8	7.0914051498744E-8	2.445724723577E-9	4.3616054993968E-9	1.1133235887571E-8	1.3471546197097E-8	0	2.0772652077514E-8	1.0611561173557E-8	0	2.0365489346566E-8	1.1224860038439E-8	0	0	0	0	0	0	0	0	0	0	0	0	1.1362755963272E-8	0	0	0	1.0778301264015E-9	0	0	5.9461717828649E-9	0	0	2.6254182056953E-9	0	1.316554159452E-8	1.8577156317269E-8	0	0	3.1947015354666E-9	0	0	6.2837224935393E-9	0	3.6020295283819E-9	3.4755155825455E-8	0	5.5540136676743E-7	0	6.7681967087652E-8	1.2169905089748E-9	9.2591379169054E-7	0	3.1584935914262E-8	3.6720770819498E-8	3.0085564971823E-9	4.9879801077928E-9	0	0	5.5322758765029E-9	0	0	4.0669127997454E-9	0	4.8198170149117E-8	5.9803250923682E-9	0	0	2.2494785557523E-9	0	3.7492607111751E-9	0	2.2638709511916E-9	7.9962078837902E-9	5.4100971231837E-9	4.8987395970589E-8	2.1961633585251E-8	4.1612468550801E-8	1.2869632594532E-8	2.329687134236E-8	5.4818349658259E-9	9.7762636078216E-9	1.3486049602193E-8	0	1.4169378151054E-8	1.7920062119625E-8	5.6308397134124E-9	0	2.9047040678801E-8	2.8889108363262E-9	0	1.1701393569777E-8	0	3.1747278345573E-9	0	0	0	0	0	0	0	0	2.0596021341135E-9	0	0	0	0	0	0	6.5308142166876E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5496233521601E-9	0
OM-RGC.v2.000124554	Biota; Archaea; Thaumarchaeota; unclassified Thaumarchaeota; Candidatus Nitrosotalea; Candidatus Nitrosotalea devanaterra	4.696665415279E-8	0	4.3190473338048E-9	3.7204207702123E-9	1.6741167081211E-8	0	0	8.6153884874985E-10	4.8330070165144E-9	0	1.5530859532528E-8	0	0	0	0	1.0126191411747E-7	0	0	1.3013788705227E-7	0	0	0	0	5.0431550560821E-9	0	0	0	0	6.2517037577314E-9	0	0	0	0	0	0	0	0	2.4561044293187E-9	0	0	2.5165341453018E-9	7.0194266761689E-9	0	4.5486548238548E-9	9.4336442496438E-9	0	5.6322659739459E-9	1.0791229899983E-8	1.8264305597542E-8	0	5.4720241911972E-8	0	2.5989647818674E-8	0	0	4.6517030820247E-9	3.3862845594311E-9	0	3.4286933259336E-9	0	0	4.4171978096234E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.480519607734E-9	0	0	0	0	0	0	0	0	0	1.1740205602741E-9	2.3317830209909E-9	0	5.9303189095438E-10	0	0	0	0	1.6422569828996E-8	3.9969138365615E-8	0	7.3249533462138E-7	5.6046615998946E-9	1.309323837351E-7	1.2089500377922E-9	1.2502755353755E-6	2.1629722875365E-9	2.7266402481196E-8	1.5779318729715E-8	4.7715518914495E-8	0	0	0	0	0	2.0483787092602E-9	0	0	1.5002106423691E-8	0	0	0	0	2.8357284133563E-8	0	1.3553273660067E-8	0	4.1019968726111E-8	4.5930627566972E-8	2.2234696226808E-7	6.5093611362483E-8	1.3765107827217E-8	2.6739938346202E-8	4.7155220884055E-8	3.319788096341E-9	1.089465464021E-8	7.8858456167879E-8	0	0	3.1638268410826E-8	2.5946399448954E-8	1.0898337250663E-9	1.1658180023295E-7	1.9506126047213E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7202335600052E-9	0
OM-RGC.v2.000127701	Biota; Bacteria; Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4754080431208E-9	0	7.4133766524272E-8	2.7151034318868E-7	0	1.3083063224549E-7	7.2978079700487E-9	0	3.9841142208426E-6	0	3.7394305611016E-7	1.0935356310606E-9	3.1632114242122E-8	9.2165457712874E-9	0	0	1.0649844668629E-8	8.8409705914709E-8	0	0	2.2488158131467E-9	0	2.3052511728495E-8	2.0619386525221E-7	0	1.2987371721433E-8	2.2603048423215E-8	4.9285349602063E-9	0	0	2.5457008824005E-9	1.9622731934928E-7	0	5.6939930990257E-9	0	0	0	0	4.613965280651E-7	1.2026456458758E-7	0	0	0	1.294629483996E-8	0	2.2627352729115E-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.000140152	Biota; Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1276388494559E-11	0	0	0	0	0	0	0	1.0592190700345E-8	0	0	0	0	0	3.7228308740151E-9	2.9504944208511E-9	0	0	0	7.543059684853E-10	0	0	1.3013110123852E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1673287694677E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9071119132076E-9	0	3.1046175493651E-10	0	0	9.6992238251053E-9	0	5.4650539896559E-9	0
OM-RGC.v2.000141556	Biota; Bacteria; Proteobacteria; Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	8.2676323462701E-10	6.1643837196322E-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7223864853617E-10	3.0309363527256E-8	4.7778599256451E-9	0	0	0	0	0	7.5187369625633E-9	0	0	2.9582520748939E-9	0	1.0589563159789E-8	2.0918499843123E-9	1.3488457659296E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.8868566743386E-9	0	0	0	0	0	0	0	0	0	0	1.3451577488196E-9	0	0	0	1.4718242249609E-9	0	0	0	0	0	0	0	0	0	0	0	0	1.9339475554797E-9	0	0	0	2.5864634620246E-9	0	7.1814354032967E-10	0	0	2.722695954013E-9	0	0	0	0	0	0	0	2.0408883507072E-9	0	0	0	0	1.7431139210486E-9	1.7770867216121E-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
