depth,latitude,longitude,time,siage,sisnthick,sithick,so,thetao,atmospheric_temperature
0.0,81.0,10.400000000029763,2023-05-19,582.2599,0.5067279,2.1283052,34.022057,-1.7239504,-3.8041666
0.0,81.0625,10.160000000029726,2023-05-18,579.20636,0.5048085,2.1262734,34.0099,-1.7301643,-7.1979165
0.0,81.0625,10.160000000029726,2023-05-17,583.2021,0.5028112,2.1119123,34.01045,-1.723243,-10.162499
0.0,81.125,10.400000000029763,2023-05-16,585.9424,0.50278443,2.1086793,34.011917,-1.7187423,-11.564584
0.0,81.1875,10.96000000002985,2023-05-15,587.21295,0.50242966,2.1030996,34.023216,-1.7081406,-11.677085
0.0,81.25,11.60000000002995,2023-05-14,588.9754,0.50031084,2.0748675,34.038715,-1.7006141,-10.320832
0.0,81.3125,11.520000000029938,2023-05-13,587.20465,0.48754272,2.110983,34.02952,-1.7182399,-9.233334
0.0,81.375,11.440000000029926,2023-05-12,580.8701,0.4746685,2.1171622,34.0269,-1.727113,-12.629167
0.0,81.375,11.520000000029938,2023-05-11,584.17975,0.47636107,2.1057413,34.023476,-1.7303084,-8.645833
0.0,81.4375,11.680000000029963,2023-05-10,585.5918,0.47118494,2.1228364,34.030857,-1.7292198,-5.84375
0.0,81.4375,12.160000000030038,2023-05-09,586.9311,0.47043404,2.0992649,34.039032,-1.7258549,-8.05
0.0,81.5,12.88000000003015,2023-05-08,586.6774,0.46573457,2.0935152,34.060978,-1.7250445,-9.591667
0.0,81.5,13.520000000030253,2023-05-07,586.5458,0.46332714,2.0908608,34.065655,-1.73537,-7.6979165
0.0,81.5625,13.760000000030288,2023-05-06,582.36847,0.45682922,2.1264722,34.067783,-1.7571164,-9.070833
0.0,81.5625,13.760000000030288,2023-05-05,579.30884,0.45586717,2.1390872,34.06523,-1.7623888,-10.964583
0.0,81.5625,13.680000000030276,2023-05-04,577.5479,0.45587343,2.1389341,34.063293,-1.7547591,-11.479165
0.0,81.625,13.600000000030263,2023-05-03,575.1618,0.45458844,2.1415722,34.07124,-1.7514031,-14.562499
0.0,81.6875,13.360000000030226,2023-05-02,572.9041,0.45407075,2.1445928,34.07723,-1.7379816,-15.989582
0.0,81.75,13.2000000000302,2023-05-01,571.86237,0.4548266,2.1482995,34.07577,-1.7195628,-18.004168
0.0,81.8125,13.440000000030238,2023-04-30,572.1288,0.45602727,2.1440997,34.077087,-1.7143552,-17.608334
0.0,81.9375,13.8400000000303,2023-04-29,571.51044,0.45484158,2.1499386,34.081112,-1.6998754,-16.504166
0.0,81.9375,14.160000000030353,2023-04-28,571.69806,0.45123795,2.125324,34.08901,-1.6953071,-15.943751
0.0,82.0,14.240000000030363,2023-04-27,571.12585,0.4509022,2.1436381,34.075546,-1.7057949,-8.735417
0.0,82.0,14.400000000030388,2023-04-26,571.5288,0.44977483,2.1340022,34.08076,-1.6989003,-11.439584
0.0,82.0625,14.72000000003044,2023-04-25,569.4573,0.44891462,2.1385462,34.073917,-1.6952835,-12.502084
0.0,82.1875,15.280000000030526,2023-04-24,566.9123,0.4479631,2.151961,34.04189,-1.7110174,-12.247916
0.0,82.25,15.600000000030576,2023-04-23,566.7136,0.4477634,2.1344318,34.03336,-1.687424,-10.583333
0.0,82.4375,15.520000000030564,2023-04-22,563.3838,0.4457069,2.1464553,33.934357,-1.7161438,-11.035417
0.0,82.5625,15.680000000030589,2023-04-21,561.4543,0.44202396,2.1509323,33.884674,-1.7385395,-19.297918
0.0,82.6875,16.32000000003069,2023-04-20,560.0889,0.44089705,2.158419,33.893723,-1.7609175,-18.722918
