contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
contig_100003	6884	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100016	5093	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100057	23788	36	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100093	4141	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100130	3429	2	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100153	7760	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100158	18983	49	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100160	47880	61	12	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100161	47040	69	19	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100166	7517	11	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100168	19563	43	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100175	3251	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100176	3199	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100197	5098	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100215	3232	8	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100227	4974	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100243	4385	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100254	21290	31	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100255	6085	15	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100270	14063	24	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100296	22133	37	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100328	17363	21	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100340	4364	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100342	4773	10	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100345	2898	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100346	4729	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100350	3742	5	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100351	35708	52	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100379	3229	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100380	4201	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100383	4377	5	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100422	7446	10	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100443	8487	19	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100445	10703	20	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100448	9692	47	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100453	11595	18	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100454	4372	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100455	11539	14	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100472	48328	74	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100493	13938	15	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100541	3287	22	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100550	6465	19	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100624	6394	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100625	5182	9	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100626	19282	39	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100641	10448	5	1	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100646	3335	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100672	11541	11	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100674	4524	1	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100698	3238	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100700	37742	62	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100702	32187	39	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100733	5850	16	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100737	97641	106	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100739	9603	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100742	29463	62	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100765	8189	7	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100766	3508	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100767	4265	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100805	4828	20	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100806	6449	21	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100807	7797	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100809	5402	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100810	4981	8	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100824	9738	15	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100828	58980	126	25	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100829	5548	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100840	4531	11	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100885	5409	13	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100888	10683	10	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100889	4963	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_100900	11573	25	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101006	4237	8	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101017	23374	32	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101020	14500	22	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101034	23893	25	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101044	31291	52	25	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101047	4292	10	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101057	16315	40	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101058	4844	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101059	42381	79	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101071	6593	12	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101074	10336	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101077	14164	20	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_101079	4584	12	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
