contig,strand,position,Treatment,a,binarized_meth_type,Treatment_top,a_top,binarized_meth_type_top,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end,function_start,source_start,function_end,source_end
contig_75320,true,52565,bottom,0.2192982456140351,low,top,0.5,middle,-1,,,2848720,2990,2848720,3869,"Integrase/recombinase, includes phage integrase (FimB)",COG20_FUNCTION,"Integrase/recombinase, includes phage integrase (FimB)",COG20_FUNCTION
contig_75320,true,52565,bottom,0.2192982456140351,low,top,0.5,middle,-1,,,2848720,2990,2848720,3869,"Integrase/recombinase, includes phage integrase (FimB)",COG20_FUNCTION,"Replication, recombination and repair!!!Mobilome: prophages, transposons",COG20_CATEGORY
contig_75320,true,52565,bottom,0.2192982456140351,low,top,0.5,middle,-1,,,2848720,2990,2848720,3869,"Replication, recombination and repair!!!Mobilome: prophages, transposons",COG20_CATEGORY,"Integrase/recombinase, includes phage integrase (FimB)",COG20_FUNCTION
contig_75320,true,52565,bottom,0.2192982456140351,low,top,0.5,middle,-1,,,2848720,2990,2848720,3869,"Replication, recombination and repair!!!Mobilome: prophages, transposons",COG20_CATEGORY,"Replication, recombination and repair!!!Mobilome: prophages, transposons",COG20_CATEGORY
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,argininosuccinate lyase [EC:4.3.2.1],KOfam
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,"Ornithine biosynthesis, glutamate => ornithine!!!Arginine biosynthesis, ornithine => arginine!!!Urea cycle",KEGG_Module
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,"Arginine biosynthesis, ornithine => arginine!!!Arginine biosynthesis, glutamate => acetylcitrulline => arginine!!!Urea cycle",KEGG_Module
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism,KEGG_Class
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism,KEGG_Class
contig_75320,true,49499,bottom,0.08632327518466132,low,top,0.4444444444444444,middle,-1,,,2848718,3156,2848718,1275,argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1],KOfam,"KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00220 Arginine biosynthesis [PATH:ko00220]!!!Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.1  Transferring groups other than aminoacyl groups>>>2.3.1.1  amino-acid N-acetyltransferase!!!Enzymes>>>4. Lyases>>>4.3  Carbon-nitrogen lyases>>>4.3.2  Amidine-lyases>>>4.3.2.1  argininosuccinate lyase",KEGG_BRITE
