seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
contig_52781	19832	No terminal repeats	NA	25	11	0.9838	NA	1	40.8036	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_85942	8158	No terminal repeats	NA	14	11	0.9838	NA	0	23.5860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_126221	4218	No terminal repeats	NA	8	11	0.9837	NA	0	13.2339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132815	6675	No terminal repeats	NA	9	11	0.9837	NA	3	14.8371	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_105949	6618	No terminal repeats	NA	8	11	0.9837	NA	0	12.8626	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_108376	11878	No terminal repeats	NA	21	11	0.9837	NA	4	36.0741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_100166	7517	No terminal repeats	NA	11	11	0.9836	NA	2	16.9459	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_106211	5917	No terminal repeats	NA	13	11	0.9836	NA	2	20.0124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_73514	11454	No terminal repeats	NA	20	11	0.9836	NA	7	29.6122	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_52783	22489	No terminal repeats	NA	27	11	0.9836	NA	5	42.6167	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_59976	7729	No terminal repeats	NA	15	11	0.9836	NA	3	22.9337	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_87169	8301	No terminal repeats	NA	19	11	0.9836	NA	1	28.8110	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132205	8154	No terminal repeats	NA	15	11	0.9836	NA	1	23.2347	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_63804	11952	No terminal repeats	NA	24	11	0.9836	NA	1	34.3531	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_60879	19869	No terminal repeats	NA	37	11	0.9836	NA	2	55.3205	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_118918	5192	No terminal repeats	NA	7	11	0.9836	NA	0	11.9968	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_87574	8153	No terminal repeats	NA	9	11	0.9836	NA	0	15.4372	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_86191	13399	No terminal repeats	NA	18	11	0.9836	NA	3	26.6275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_53624	23670	No terminal repeats	NA	28	11	0.9836	NA	4	44.4444	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_71577	12502	No terminal repeats	NA	18	11	0.9836	NA	1	27.3333	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_75473	3797	No terminal repeats	NA	5	11	0.9836	NA	0	8.5745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_113196	6628	No terminal repeats	NA	17	11	0.9836	NA	7	28.6164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
contig_59446	7096	No terminal repeats	NA	14	11	0.9836	NA	0	22.9131	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_132546	4908	No terminal repeats	NA	7	11	0.9836	NA	2	11.2723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_123015	17695	No terminal repeats	NA	28	11	0.9836	NA	4	40.3448	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_83722	5016	No terminal repeats	NA	7	11	0.9836	NA	1	10.7058	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_101006	4237	No terminal repeats	NA	8	15	0.9836	NA	3	13.5139	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
contig_82294	18599	No terminal repeats	NA	11	11	0.9836	NA	0	17.8220	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
