contig,strand,position,Treatment,m,binarized_meth_type,Treatment_top,m_top,binarized_meth_type_top,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end
contig_74085,true,372502,bottom,0.03916617738576963,low,top,0.25,middle,-1,,,2822438,1920,2822438,1230
contig_74085,true,375759,bottom,0.14727849341242708,low,top,0.4,middle,-1,,,2822440,2433,2822440,3462
contig_74085,true,579453,bottom,0.09106382102355459,low,top,0.38709677419354843,middle,-1,,,2822628,2147,2822628,1310
contig_74085,true,579597,bottom,0.12231449086833938,low,top,0.4,middle,-1,,,2822628,2291,2822628,1454
contig_74085,true,582402,bottom,0.07795777063410674,low,top,0.75,middle,-1,,,2822631,3630,2822628,4259
contig_74085,true,372761,bottom,0.1573825570028328,low,top,0.6666666666666666,middle,-1,,,2822438,2179,2822438,1489
contig_74085,true,372675,bottom,0.051868639229735176,low,top,0.3333333333333333,middle,-1,,,2822438,2093,2822438,1403
contig_74085,true,581517,bottom,0.4695055536635769,middle,top,0.15000000000000002,low,-1,,,2822628,4211,2822628,3374
contig_74085,true,375566,bottom,0.06979619457011856,low,top,0.3333333333333333,middle,-1,,,2822440,2626,2822440,3655
contig_74085,true,582595,bottom,0.1317393066610583,low,top,0.5882352941176471,middle,-1,,,2822631,3437,2822631,4415
