contig,position,strand,m,Ncanonical_C,Treatment,sample,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end
contig_52736,25944,false,0.0,0.989010989010989,middle,barcode09,2393706,elongation factor Tu,KOfam,2393706,682,2393706,506
contig_52736,25944,false,0.0,0.989010989010989,middle,barcode09,2393706,"Translation factors>>>Eukaryotic type>>>Elongation factors!!!Translation factors>>>Prokaryotic type>>>Elongation factors!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Mitochondrial translation factors!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of breast cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells",KEGG_BRITE,2393706,682,2393706,506
contig_52736,25944,false,0.0,0.989010989010989,middle,barcode09,2393706,"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)",COG20_FUNCTION,2393706,682,2393706,506
contig_52736,25944,false,0.0,0.989010989010989,middle,barcode09,2393706,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2393706,682,2393706,506
contig_52736,25944,false,0.0,0.989010989010989,middle,barcode09,2393706,Translation factors,COG20_PATHWAY,2393706,682,2393706,506
contig_52458,8388,false,0.2269861286254729,0.9386818127553322,bottom,barcode07,-1,,,2389214,559,2389214,127
contig_53420,82704,true,0.0,1.0,top,barcode01,2408264,small subunit ribosomal protein S3,KOfam,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,top,barcode01,2408264,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>03010 Ribosome [PATH:ko03010]!!!Ribosome>>>Ribosomal proteins>>>Bacteria>>>Small subunit!!!Ribosome>>>Ribosomal proteins>>>Archaea>>>Small subunit,KEGG_BRITE,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,top,barcode01,2408264,Ribosomal protein S3 (RpsC) (PDB:1VS6),COG20_FUNCTION,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,top,barcode01,2408264,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2408264,213,2408263,215
contig_53420,82704,true,0.0,1.0,top,barcode01,2408264,Ribosome 30S subunit,COG20_PATHWAY,2408264,213,2408263,215
contig_60340,366274,true,0.6730769230769231,0.9619151251360174,bottom,barcode10,-1,,,2540914,484,2540914,871
contig_52458,8388,false,0.07810499359795134,0.9258180944489887,bottom,barcode10,-1,,,2389214,559,2389214,127
contig_52458,93679,true,0.0,1.0,middle,barcode09,-1,,,2389291,4245,2389291,2928
contig_50775,152040,true,0.6290322580645161,0.9733788395904437,bottom,barcode10,2366625,,,2366625,705,2366625,279
contig_52458,60008,true,0.017831043554516226,0.99818877273916,bottom,barcode10,2389265,,,2389265,68,2389265,373
contig_52736,25557,true,0.16279069767441862,0.9423919849718222,top,barcode01,-1,,,2393707,950,2393707,1232
contig_52736,25944,false,0.13278008298755187,0.9852007625636289,bottom,barcode07,2393706,elongation factor Tu,KOfam,2393706,682,2393706,506
contig_52736,25944,false,0.13278008298755187,0.9852007625636289,bottom,barcode07,2393706,"Translation factors>>>Eukaryotic type>>>Elongation factors!!!Translation factors>>>Prokaryotic type>>>Elongation factors!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Mitochondrial translation factors!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of breast cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells",KEGG_BRITE,2393706,682,2393706,506
contig_52736,25944,false,0.13278008298755187,0.9852007625636289,bottom,barcode07,2393706,"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)",COG20_FUNCTION,2393706,682,2393706,506
contig_52736,25944,false,0.13278008298755187,0.9852007625636289,bottom,barcode07,2393706,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,2393706,682,2393706,506
contig_52736,25944,false,0.13278008298755187,0.9852007625636289,bottom,barcode07,2393706,Translation factors,COG20_PATHWAY,2393706,682,2393706,506
contig_52458,78753,true,0.0,1.0,middle,barcode06,-1,,,2389282,11,2389282,488
contig_52458,78753,true,0.026661989124714965,0.9994548195227635,bottom,barcode07,-1,,,2389282,11,2389282,488
contig_52458,59635,false,0.0,1.0,middle,barcode06,-1,,,2389264,26,2389264,218
contig_52458,78753,true,0.0,0.8823529411764706,top,barcode05,-1,,,2389282,11,2389282,488
