seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
contig_118845	2587	No terminal repeats	6	11	0.9941	NA	0	4.3112	NA	NA
contig_136750	8760	No terminal repeats	16	11	0.9934	NA	1	5.7914	NA	NA
contig_100108	2689	No terminal repeats	4	11	0.9919	NA	0	1.9759	NA	NA
contig_114501	5400	No terminal repeats	11	11	0.9914	NA	2	3.2636	NA	NA
contig_73292	3776	No terminal repeats	4	11	0.9913	NA	0	2.9643	NA	NA
contig_136872	5846	No terminal repeats	7	11	0.9909	NA	2	4.9216	NA	NA
contig_136474	51363	No terminal repeats	62	11	0.9904	NA	0	15.2625	NA	NA
contig_136275	80888	No terminal repeats	111	11	0.9903	NA	15	21.1743	F_traL;F_traG;F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traU;F_traW;virb4;F_traV	NA
contig_64270	10741	No terminal repeats	10	11	0.9898	NA	0	1.3169	NA	NA
contig_109089	58980	No terminal repeats	67	11	0.9892	NA	0	9.9022	NA	NF000496
contig_92689	7646	No terminal repeats	11	11	0.9883	NA	1	1.4644	NA	NA
contig_122486	4706	No terminal repeats	10	11	0.9882	NA	0	2.9519	NA	NA
contig_97035	4755	No terminal repeats	7	11	0.9881	NA	0	3.1175	NA	NA
contig_126790	21942	No terminal repeats	34	11	0.9875	NA	0	11.1921	NA	NF012178
contig_136914	5153	No terminal repeats	7	11	0.9870	NA	0	0.7615	NA	NA
contig_126667	19862	No terminal repeats	24	11	0.9862	NA	1	5.2255	NA	NA
contig_134023	9957	No terminal repeats	14	11	0.9854	NA	0	3.3977	NA	NA
contig_77256	22459	No terminal repeats	26	11	0.9851	NA	0	6.6987	NA	NA
contig_64840	11879	No terminal repeats	17	11	0.9849	NA	0	5.1375	NA	NA
contig_57921	49711	No terminal repeats	70	11	0.9846	NA	0	5.5629	NA	NF000402
contig_119041	10707	No terminal repeats	23	11	0.9839	NA	0	3.7650	NA	NA
contig_60602	4561	No terminal repeats	7	11	0.9836	NA	0	1.1399	NA	NA
contig_136551	5695	No terminal repeats	10	11	0.9835	NA	2	5.1269	MOBQ	NA
contig_52464	12952	No terminal repeats	15	11	0.9822	NA	0	1.3262	NA	NA
contig_114179	29278	No terminal repeats	35	11	0.9822	NA	2	0.1451	MOBB	NA
contig_70896	2745	No terminal repeats	5	11	0.9813	NA	0	2.2628	NA	NA
contig_125532	10833	No terminal repeats	11	11	0.9813	NA	0	0.4552	NA	NA
contig_120524	2641	No terminal repeats	6	11	0.9807	NA	0	0.7258	NA	NA
contig_112157	16874	No terminal repeats	27	11	0.9805	NA	0	0.8973	NA	NF000402
contig_58385	6456	No terminal repeats	7	11	0.9803	NA	0	1.7183	NA	NA
contig_120233	9857	No terminal repeats	13	11	0.9803	NA	0	3.2627	NA	NA
contig_50357	151294	No terminal repeats	144	11	0.9803	NA	0	6.9780	NA	NA
contig_96619	5238	No terminal repeats	7	11	0.9797	NA	0	0.7615	NA	NA
contig_73940	7344	No terminal repeats	10	11	0.9796	NA	0	1.9071	NA	NA
contig_122612	8481	No terminal repeats	11	11	0.9792	NA	0	1.9311	NA	NA
contig_109558	17598	No terminal repeats	22	11	0.9791	NA	0	2.3175	NA	NA
contig_74505	30063	No terminal repeats	45	11	0.9781	NA	0	3.9833	NA	NF000005
contig_53215	13323	No terminal repeats	19	11	0.9780	NA	0	1.1380	NA	NA
contig_102702	5326	No terminal repeats	5	11	0.9769	NA	0	0.8166	NA	NA
contig_90618	10328	No terminal repeats	13	11	0.9766	NA	0	1.6943	NA	NA
contig_58357	4600	No terminal repeats	6	11	0.9763	NA	0	0.3964	NA	NA
contig_95315	45287	No terminal repeats	47	11	0.9758	NA	0	0.7084	NA	NA
contig_65798	19304	No terminal repeats	25	11	0.9752	NA	0	3.0949	NA	NA
contig_64600	6117	No terminal repeats	7	11	0.9750	NA	0	1.2481	NA	NA
contig_77325	106269	No terminal repeats	109	11	0.9744	NA	8	22.2946	T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
contig_86158	30538	No terminal repeats	19	11	0.9737	NA	1	3.2169	NA	NA
contig_59077	10775	No terminal repeats	15	11	0.9733	NA	0	1.1893	NA	NA
contig_52471	6347	No terminal repeats	6	11	0.9733	NA	0	0.3964	NA	NA
contig_83788	7317	No terminal repeats	6	11	0.9732	NA	0	1.0046	NA	NA
contig_99131	20447	No terminal repeats	23	11	0.9730	NA	0	1.1274	NA	NA
contig_80212	5455	No terminal repeats	6	11	0.9729	NA	0	1.0243	NA	NA
contig_112369	3470	No terminal repeats	5	11	0.9728	NA	0	0.7615	NA	NA
contig_57918	33150	No terminal repeats	39	11	0.9710	NA	1	2.1224	NA	NA
contig_110324	91699	No terminal repeats	98	11	0.9703	NA	0	3.1666	NA	NF000496
contig_114664	58026	No terminal repeats	56	11	0.9703	NA	0	7.5233	NA	NA
contig_94326	17007	No terminal repeats	19	11	0.9698	NA	0	0.6613	NA	NA
contig_113913	39562	No terminal repeats	52	11	0.9693	NA	3	5.7026	I_traM;I_traI;T_virB11;I_traY;I_traW	NA
contig_110695	22536	No terminal repeats	31	11	0.9691	NA	0	2.0094	NA	NA
contig_116929	5686	No terminal repeats	7	11	0.9687	NA	1	1.2879	NA	NA
contig_61383	4475	No terminal repeats	5	11	0.9677	NA	0	1.1643	NA	NA
contig_81892	8845	No terminal repeats	18	11	0.9676	NA	0	1.0822	NA	NA
contig_87359	5412	No terminal repeats	5	11	0.9666	NA	0	1.6578	NA	NA
contig_133621	17060	No terminal repeats	23	11	0.9664	NA	0	2.2671	NA	NA
contig_112367	8922	No terminal repeats	13	11	0.9661	NA	0	0.8696	NA	NA
contig_95735	7391	No terminal repeats	15	11	0.9641	NA	0	2.2356	NA	NA
contig_81008	12233	No terminal repeats	17	11	0.9638	NA	0	3.9443	NA	NA
contig_98202	13579	No terminal repeats	19	11	0.9637	NA	0	1.2256	NA	NA
contig_136889	28743	No terminal repeats	40	11	0.9636	NA	6	10.5712	T_virB3;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
contig_64074	187805	No terminal repeats	187	11	0.9618	NA	0	11.7065	NA	NF000272
contig_106685	3458	No terminal repeats	6	11	0.9604	NA	0	1.2674	NA	NA
contig_61221	13569	No terminal repeats	15	11	0.9598	NA	0	2.8433	NA	NA
contig_89400	5554	No terminal repeats	8	11	0.9596	NA	0	0.2068	NA	NA
contig_104102	7669	No terminal repeats	10	11	0.9583	NA	0	1.6024	NA	NA
contig_72809	2757	No terminal repeats	3	11	0.9568	NA	0	1.6024	NA	NA
contig_137036	8643	No terminal repeats	14	11	0.9565	NA	0	2.3995	NA	NA
contig_126904	15208	No terminal repeats	19	11	0.9544	NA	1	2.5970	NA	NA
contig_125574	12711	No terminal repeats	14	11	0.9538	NA	1	1.5314	NA	NA
contig_112366	8979	No terminal repeats	11	11	0.9529	NA	0	0.8166	NA	NA
contig_104698	3937	No terminal repeats	7	11	0.9526	NA	0	1.5427	NA	NA
contig_72979	6787	No terminal repeats	7	11	0.9523	NA	0	1.5851	NA	NA
contig_114465	47479	No terminal repeats	56	11	0.9521	NA	0	5.6405	NA	NA
contig_111510	12979	No terminal repeats	10	11	0.9512	NA	0	1.6307	NA	NA
contig_112368	9267	No terminal repeats	14	11	0.9511	NA	0	0.8166	NA	NA
contig_95612	4998	No terminal repeats	3	11	0.9505	NA	0	1.7086	NA	NA
contig_59078	9015	No terminal repeats	9	11	0.9501	NA	0	2.7344	NA	NA
contig_94181	4007	No terminal repeats	8	11	0.9499	NA	0	2.4829	NA	NA
contig_63958	16378	No terminal repeats	21	11	0.9497	NA	0	0.0845	NA	NA
contig_115149	6142	No terminal repeats	5	11	0.9495	NA	0	1.2000	NA	NA
contig_61235	25133	No terminal repeats	30	11	0.9493	NA	1	2.3712	NA	NA
contig_113473	3719	No terminal repeats	4	11	0.9480	NA	0	1.2780	NA	NA
contig_100876	4312	No terminal repeats	3	11	0.9479	NA	0	0.8508	NA	NA
contig_64754	99251	No terminal repeats	113	11	0.9471	NA	1	4.0653	NA	NF000496;NF012174;NF012174;NF012174
contig_87090	26431	No terminal repeats	31	11	0.9456	NA	0	1.8696	NA	NA
contig_81405	27287	No terminal repeats	30	11	0.9455	NA	0	0.2337	NA	NA
contig_83023	8719	No terminal repeats	11	11	0.9449	NA	0	1.4275	NA	NA
contig_61387	2857	No terminal repeats	4	11	0.9435	NA	0	0.9677	NA	NA
contig_122613	6067	No terminal repeats	6	11	0.9418	NA	0	1.3872	NA	NA
contig_80433	4830	No terminal repeats	9	11	0.9411	NA	0	3.3808	NA	NA
contig_86918	7436	No terminal repeats	8	11	0.9411	NA	0	0.0000	NA	NA
contig_116773	32138	No terminal repeats	25	11	0.9402	NA	0	0.0000	NA	NA
contig_55514	12839	No terminal repeats	20	11	0.9402	NA	0	1.9636	NA	NA
contig_96011	3489	No terminal repeats	8	11	0.9396	NA	0	0.0000	NA	NA
contig_74486	97196	No terminal repeats	98	11	0.9386	NA	0	17.1214	NA	NA
contig_127676	5031	No terminal repeats	8	11	0.9384	NA	0	2.4829	NA	NA
contig_52490	6300	No terminal repeats	7	11	0.9381	NA	0	0.9661	NA	NA
contig_118613	36261	No terminal repeats	41	11	0.9377	NA	0	2.6766	NA	NA
contig_103744	11200	No terminal repeats	11	11	0.9365	NA	0	0.0000	NA	NA
contig_96813	3844	No terminal repeats	6	11	0.9363	NA	0	0.0000	NA	NA
contig_135150	8846	No terminal repeats	10	11	0.9363	NA	0	1.3437	NA	NA
contig_125933	20952	No terminal repeats	32	11	0.9360	NA	0	0.0000	NA	NA
contig_134118	27256	No terminal repeats	29	11	0.9355	NA	0	4.4945	NA	NF033087
contig_15733	13306	No terminal repeats	13	11	0.9352	NA	0	0.0000	NA	NA
contig_136811	18763	No terminal repeats	31	11	0.9350	NA	0	1.8769	NA	NA
contig_132248	18476	No terminal repeats	17	11	0.9348	NA	1	0.5009	NA	NA
contig_52325	5487	No terminal repeats	8	11	0.9348	NA	0	1.8656	NA	NA
contig_121798	6625	No terminal repeats	7	11	0.9347	NA	0	0.0000	NA	NA
contig_118155	2894	No terminal repeats	4	11	0.9346	NA	0	1.8301	NA	NA
contig_133455	15906	No terminal repeats	22	11	0.9346	NA	0	3.1036	NA	NA
contig_56472	14480	No terminal repeats	18	11	0.9341	NA	0	0.3037	NA	NA
contig_120015	15099	No terminal repeats	15	11	0.9340	NA	0	0.0000	NA	NA
contig_119009	14819	No terminal repeats	19	11	0.9339	NA	0	0.0000	NA	NA
contig_52463	6268	No terminal repeats	7	11	0.9336	NA	0	0.3964	NA	NA
contig_57	62339	No terminal repeats	76	11	0.9336	NA	0	3.5951	NA	NA
contig_118688	6204	No terminal repeats	6	11	0.9333	NA	0	0.0000	NA	NA
contig_84713	27690	No terminal repeats	29	11	0.9332	NA	0	0.0000	NA	NA
contig_66758	43928	No terminal repeats	57	11	0.9326	NA	0	2.9807	NA	NA
contig_126003	4015	No terminal repeats	5	11	0.9323	NA	0	0.0000	NA	NA
contig_90896	8627	No terminal repeats	8	11	0.9321	NA	0	0.0000	NA	NA
