gene_callers_id,function,rao_score,source,test_result
2435983,Inorganic ion transport and metabolism,NaN,COG20_CATEGORY,true
2627964,branched chain amino acid efflux pump,NaN,KOfam,true
2435840,Enzymes>>>4. Lyases>>>4.1  Carbon-carbon lyases>>>4.1.99  Other carbon-carbon lyases>>>4.1.99.13  (6-4)DNA photolyase!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>Direct repair,NaN,KEGG_BRITE,true
2449580,"KEGG Orthology (KO)>>>09100 Metabolism>>>09109 Metabolism of terpenoids and polyketides>>>00900 Terpenoid backbone biosynthesis [PATH:ko00900]!!!Enzymes>>>4. Lyases>>>4.6  Phosphorus-oxygen lyases>>>4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date)>>>4.6.1.12  2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",NaN,KEGG_BRITE,true
2625664,Function unknown,NaN,COG20_CATEGORY,true
2515443,Phospholipid biosynthesis,NaN,COG20_PATHWAY,true
2451351,"pyruvate, orthophosphate dikinase [EC:2.7.9.1]",NaN,KOfam,true
2451329,General function prediction only,NaN,COG20_CATEGORY,true
2452205,Carbohydrate transport and metabolism,NaN,COG20_CATEGORY,true
2515429,thioredoxin reductase (NADPH) [EC:1.8.1.9],NaN,KOfam,true
2435808,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2515468,Coenzyme transport and metabolism!!!Energy production and conversion,NaN,COG20_CATEGORY,true
2451301,D-glutamate cyclase [EC:4.2.1.48],NaN,KOfam,true
2452205,3-phosphoglycerate kinase (Pgk) (PDB:13PK),NaN,COG20_FUNCTION,true
2625759,KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00340 Histidine metabolism [PATH:ko00340]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.23  histidinol dehydrogenase,NaN,KEGG_BRITE,true
2452205,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00010 Glycolysis / Gluconeogenesis [PATH:ko00010]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04066 HIF-1 signaling pathway [PATH:ko04066]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.2  Phosphotransferases with a carboxy group as acceptor>>>2.7.2.3  phosphoglycerate kinase!!!Exosome>>>Exosomal proteins>>>Proteins found in most exosomes,NaN,KEGG_BRITE,true
2451326,Aminoacyl-tRNA synthetases,NaN,COG20_PATHWAY,true
2515519,NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY),NaN,COG20_FUNCTION,true
2435885,Pyridoxal phosphate biosynthesis,NaN,COG20_PATHWAY,true
2435953,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2435970,"two-component system, OmpR family, response regulator ChvI",NaN,KOfam,true
2435861,Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism,NaN,KEGG_Class,true
2461562,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,NaN,KEGG_Class,true
2408625,modulator of FtsH protease HflC,NaN,KOfam,true
2435802,ATP-dependent HslUV protease ATP-binding subunit HslU,NaN,KOfam,true
2435960,Ribosomal protein L28 (RpmB) (PDB:2JZ6),NaN,COG20_FUNCTION,true
2449551,"Fatty acid biosynthesis, elongation!!!Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",NaN,KEGG_Module,true
2452206,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria",NaN,KEGG_Module,true
2435830,YggT family protein,NaN,KOfam,true
2435884,KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.99  With unknown physiological acceptors>>>1.1.99.14  glycolate dehydrogenase,NaN,KEGG_BRITE,true
2515489,Pathway modules; Amino acid metabolism; Serine and threonine metabolism,NaN,KEGG_Class,true
2461558,Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC) (PDB:1A48),NaN,COG20_FUNCTION,true
784135,translocator protein,NaN,KOfam,true
2749804,Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism,NaN,KEGG_Class,true
2449556,KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00540 Lipopolysaccharide biosynthesis [PATH:ko00540]!!!Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.1  Hexosyltransferases>>>2.4.1.182  lipid-A-disaccharide synthase!!!Lipopolysaccharide biosynthesis proteins>>>Lipid A,NaN,KEGG_BRITE,true
2461619,"KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.5  Carbon-nitrogen ligases with glutamine as amido-N-donor>>>6.3.5.6  asparaginyl-tRNA synthase (glutamine-hydrolysing)!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.5  Carbon-nitrogen ligases with glutamine as amido-N-donor>>>6.3.5.7  glutaminyl-tRNA synthase (glutamine-hydrolysing)!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Other mitochondrial DNA transcription and translation factors",NaN,KEGG_BRITE,true
2461649,Coenzyme transport and metabolism,NaN,COG20_CATEGORY,true
2451366,"KEGG Orthology (KO)>>>09100 Metabolism>>>09109 Metabolism of terpenoids and polyketides>>>00900 Terpenoid backbone biosynthesis [PATH:ko00900]!!!Enzymes>>>2. Transferases>>>2.5  Transferring alkyl or aryl groups, other than methyl groups>>>2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)>>>2.5.1.90  all-trans-octaprenyl-diphosphate synthase!!!Prenyltransferases>>>Terpene biosynthesis>>>Prenyl diphosphate synthase",NaN,KEGG_BRITE,true
2442513,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2452211,Ribosome 50S subunit,NaN,COG20_PATHWAY,true
2435958,Aminoacyl-tRNA synthetases,NaN,COG20_PATHWAY,true
2627955,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2461588,small subunit ribosomal protein S17,NaN,KOfam,true
2442356,"Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2461621,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M),NaN,COG20_FUNCTION,true
2515496,Energy production and conversion,NaN,COG20_CATEGORY,true
2461656,Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,NaN,KEGG_Class,true
2625719,"Translation, ribosomal structure and biogenesis!!!Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2435796,KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03030 DNA replication [PATH:ko03030]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03430 Mismatch repair [PATH:ko03430]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03440 Homologous recombination [PATH:ko03440]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.7  Nucleotidyltransferases>>>2.7.7.7  DNA-directed DNA polymerase!!!DNA replication proteins>>>Prokaryotic type>>>DNA Replication Elongation Factors>>>Elongation factors (bacterial)>>>DNA polymerase III holoenzyme!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>MMR (mismatch excision repair)>>>DNA polymerase III holoenzyme,NaN,KEGG_BRITE,true
2515453,large subunit ribosomal protein L25,NaN,KOfam,true
2515502,Cytochrome oxidase assembly protein ShyY1 (Shy1),NaN,COG20_FUNCTION,true
2625682,Defense mechanisms,NaN,COG20_CATEGORY,true
2408621,KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00240 Pyrimidine metabolism [PATH:ko00240]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09108 Metabolism of cofactors and vitamins>>>00670 One carbon pool by folate [PATH:ko00670]!!!Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.148  thymidylate synthase (FAD),NaN,KEGG_BRITE,true
2435940,"F-type ATPase, prokaryotes and chloroplasts",NaN,KEGG_Module,true
2451290,Predicted flavin-containing amine oxidase (Ppro0129),NaN,COG20_FUNCTION,true
2515457,ubiquinol-cytochrome c reductase cytochrome b subunit,NaN,KOfam,true
2515465,uracil-DNA glycosylase [EC:3.2.2.27],NaN,KOfam,true
2452207,Thiamine biosynthesis,NaN,COG20_PATHWAY,true
2435878,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",NaN,COG20_CATEGORY,true
2461583,Ribosome 30S subunit,NaN,COG20_PATHWAY,true
2435877,"cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE",NaN,KOfam,true
2435933,Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism,NaN,KEGG_Class,true
2749796,KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00220 Arginine biosynthesis [PATH:ko00220]!!!Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.3  Carboxy- and carbamoyltransferases>>>2.1.3.3  ornithine carbamoyltransferase,NaN,KEGG_BRITE,true
2449557,Heme biosynthesis,NaN,COG20_PATHWAY,true
2435894,Aminoacyl-tRNA synthetases,NaN,COG20_PATHWAY,true
2408627,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)",NaN,COG20_FUNCTION,true
2450618,Cytochrome c biogenesis protein CcdA (CcdA) (PDB:5VKV),NaN,COG20_FUNCTION,true
2408620,Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,NaN,KEGG_Class,true
784136,Short-chain dehydrogenase (YqjQ),NaN,COG20_FUNCTION,true
2749793,"KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]!!!Enzymes>>>4. Lyases>>>4.2  Carbon-oxygen lyases>>>4.2.1  Hydro-lyases>>>4.2.1.51  prephenate dehydratase",NaN,KEGG_BRITE,true
2625662,Energy production and conversion,NaN,COG20_CATEGORY,true
2451220,Guanylate kinase (Gmk) (PDB:1EX6),NaN,COG20_FUNCTION,true
2449561,anthranilate synthase component II [EC:4.1.3.27],NaN,KOfam,true
2538713,deoxyribodipyrimidine photo-lyase [EC:4.1.99.3],NaN,KOfam,true
2461533,Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,NaN,KEGG_Class,true
2461654,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",NaN,KEGG_Module,true
880262,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",NaN,KEGG_Module,true
2515518,General function prediction only,NaN,COG20_CATEGORY,true
2435957,Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2],NaN,KEGG_BRITE,true
2451260,N-Dimethylarginine dimethylaminohydrolase (DdaH) (PDB:6LRH),NaN,COG20_FUNCTION,true
2435827,Heme biosynthesis,NaN,COG20_PATHWAY,true
2451354,Gluconeogenesis,NaN,COG20_PATHWAY,true
2449580,Lipid transport and metabolism!!!Lipid transport and metabolism,NaN,COG20_CATEGORY,true
2450594,"ABC-type proline/glycine betaine transport system, permease component (ProW)",NaN,COG20_FUNCTION,true
2435930,Energy production and conversion,NaN,COG20_CATEGORY,true
2451234,"Amino acid transport and metabolism!!!Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!Secondary metabolites biosynthesis, transport and catabolism",NaN,COG20_CATEGORY,true
2625675,Triacylglycerol biosynthesis,NaN,KEGG_Module,true
2435935,"Replication, recombination and repair",NaN,COG20_CATEGORY,true
2625730,Transcription!!!Signal transduction mechanisms,NaN,COG20_CATEGORY,true
2451166,Lipid transport and metabolism,NaN,COG20_CATEGORY,true
2451368,Pyridoxine/pyridoxamine 5'-phosphate oxidase (PdxH) (PDB:1CI0),NaN,COG20_FUNCTION,true
2625701,Fatty acid biosynthesis,NaN,COG20_PATHWAY,true
2451364,glycyl-tRNA synthetase alpha chain [EC:6.1.1.14],NaN,KOfam,true
2449578,Coenzyme transport and metabolism,NaN,COG20_CATEGORY,true
2408608,KEGG Orthology (KO)>>>09140 Cellular Processes>>>09143 Cell growth and death>>>04112 Cell cycle - Caulobacter [PATH:ko04112]!!!Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Divisome proteins!!!Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>Microtubules homologs,NaN,KEGG_BRITE,true
2435875,Cytochrome c biogenesis protein CcmE (CcmE) (PDB:1J6Q),NaN,COG20_FUNCTION,true
2515442,"Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)",NaN,COG20_FUNCTION,true
2452205,phosphoglycerate kinase [EC:2.7.2.3],NaN,KOfam,true
2442431,KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>3. Hydrolases>>>3.1  Acting on ester bonds>>>3.1.5  Triphosphoric-monoester hydrolases>>>3.1.5.1  dGTPase,NaN,KEGG_BRITE,true
2474823,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2451314,Nucleotide transport and metabolism!!!Signal transduction mechanisms,NaN,COG20_CATEGORY,true
