gene_callers_id,function,rao_score,source,test_result
2375920,Amino acid transport and metabolism,NaN,COG20_CATEGORY,true
2378586,"Periplasmic ferric-dicitrate binding protein FecR, regulates iron transport (FecR) (PDB:5CAM)",NaN,COG20_FUNCTION,true
2378599,Nucleotide transport and metabolism!!!Cell wall/membrane/envelope biogenesis,NaN,COG20_CATEGORY,true
2390593,isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2],NaN,KOfam,true
2390561,"Replication, recombination and repair",NaN,COG20_CATEGORY,true
2389798,dTDP-L-rhamnose biosynthesis,NaN,KEGG_Module,true
2540738,General function prediction only,NaN,COG20_CATEGORY,true
2378568,"Sensor histidine kinase, LytS/YehU family (LytS)",NaN,COG20_FUNCTION,true
2389706,Shikimate 5-dehydrogenase (AroE) (PDB:1NPD),NaN,COG20_FUNCTION,true
2376011,Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271),NaN,COG20_FUNCTION,true
2376002,Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.2  DNA topoisomerase (ATP-hydrolysing)!!!DNA replication proteins>>>Prokaryotic type>>>DNA Topoisomerases!!!Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins!!!Prokaryotic defense system>>>Toxin-antitoxin system (TA system)>>>Type II TA system>>>Type II TA system related factors,NaN,KEGG_BRITE,true
2540713,Translation factors>>>Eukaryotic type>>>Initiation factors>>>Initiation associated factors,NaN,KEGG_BRITE,true
2389456,Chaperones and folding catalysts>>>Heat shock proteins>>>HSP40 / DNAJ,NaN,KEGG_BRITE,true
2411835,"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain (YfmG) (PDB:2AFT)",NaN,COG20_FUNCTION,true
2378584,iron complex outermembrane recepter protein,NaN,KOfam,true
2389395,"Translation, ribosomal structure and biogenesis",NaN,COG20_CATEGORY,true
2388614,"Replication, recombination and repair",NaN,COG20_CATEGORY,true
