contig,strand,position,Treatment,a,binarized_meth_type,Treatment_top,a_top,binarized_meth_type_top,gene_callers_id,function,source,gene_callers_id_start,distance_to_start,gene_callers_id_end,distance_to_end,function_start,source_start,function_end,source_end
contig_132567,true,32409,bottom,0.33101851851851855,middle,top,0.14285714285714285,low,-1,,,795425,5617,795425,5785,,,,
contig_4,true,45331,bottom,0.2999222999222999,middle,top,0.16666666666666666,low,-1,,,2166666,1272,2166666,1719,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION
contig_4,true,45331,bottom,0.2999222999222999,middle,top,0.16666666666666666,low,-1,,,2166666,1272,2166666,1719,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY
contig_4,true,45331,bottom,0.2999222999222999,middle,top,0.16666666666666666,low,-1,,,2166666,1272,2166666,1719,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION
contig_4,true,45331,bottom,0.2999222999222999,middle,top,0.16666666666666666,low,-1,,,2166666,1272,2166666,1719,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY
contig_22,true,38918,bottom,0.20538720538720537,low,top,1.0,high,-1,,,1341633,1455,1341633,1326,,,,
contig_22,true,37266,bottom,0.17735191637630662,low,top,0.2923076923076923,middle,-1,,,1341633,197,1341633,326,,,,
contig_4,true,45355,bottom,0.034848231690336955,low,top,0.25,middle,-1,,,2166666,1248,2166666,1695,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION
contig_4,true,45355,bottom,0.034848231690336955,low,top,0.25,middle,-1,,,2166666,1248,2166666,1695,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY
contig_4,true,45355,bottom,0.034848231690336955,low,top,0.25,middle,-1,,,2166666,1248,2166666,1695,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,RNA recognition motif (RRM) domain (RRM) (PDB:1HL6),COG20_FUNCTION
contig_4,true,45355,bottom,0.034848231690336955,low,top,0.25,middle,-1,,,2166666,1248,2166666,1695,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY
contig_132567,true,16200,bottom,0.05128205128205129,low,top,0.6,middle,795409,"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)",COG20_FUNCTION,795409,99,795409,555,"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)",COG20_FUNCTION,"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)",COG20_FUNCTION
contig_132567,true,16200,bottom,0.05128205128205129,low,top,0.6,middle,795409,"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)",COG20_FUNCTION,795409,99,795409,555,"Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)",COG20_FUNCTION,"Translation, ribosomal structure and biogenesis",COG20_CATEGORY
