contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
contig_100003	6884	No	NA	12	1	0	Low-quality	Genome-fragment	3.58	HMM-based (lower-bound)	0.0	1.0	
contig_100016	5093	No	NA	9	1	0	Low-quality	Genome-fragment	2.79	HMM-based (lower-bound)	0.0	1.0	
contig_100057	23788	No	NA	36	10	0	Low-quality	Genome-fragment	49.58	AAI-based (medium-confidence)	0.0	1.0	
contig_100093	4141	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100130	3429	No	NA	2	2	0	Low-quality	Genome-fragment	1.76	HMM-based (lower-bound)	0.0	1.01	
contig_100153	7760	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
contig_100158	18983	No	NA	49	12	0	Low-quality	Genome-fragment	29.22	AAI-based (high-confidence)	0.0	1.0	
contig_100160	47880	No	NA	61	12	2	Medium-quality	Genome-fragment	79.01	AAI-based (high-confidence)	0.0	1.0	
contig_100161	47040	No	NA	69	19	1	Medium-quality	Genome-fragment	72.78	AAI-based (medium-confidence)	0.0	1.0	
contig_100166	7517	No	NA	11	2	0	Low-quality	Genome-fragment	16.47	AAI-based (high-confidence)	0.0	1.0	
contig_100168	19563	No	NA	43	12	0	Low-quality	Genome-fragment	34.91	AAI-based (high-confidence)	0.0	1.0	
contig_100175	3251	No	NA	8	0	0	Low-quality	Genome-fragment	6.56	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_100176	3199	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100197	5098	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100215	3232	No	NA	8	7	0	Low-quality	Genome-fragment	2.0	AAI-based (high-confidence)	0.0	1.0	
contig_100227	4974	No	NA	7	1	0	Low-quality	Genome-fragment	7.73	AAI-based (high-confidence)	0.0	1.0	
contig_100243	4385	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	5.32	no viral genes detected; high kmer_freq may indicate large duplication
contig_100254	21290	No	NA	31	11	0	Medium-quality	Genome-fragment	59.42	AAI-based (high-confidence)	0.0	1.0	
contig_100255	6085	No	NA	15	4	0	Low-quality	Genome-fragment	3.71	HMM-based (lower-bound)	0.0	1.0	
contig_100270	14063	No	NA	24	4	0	Low-quality	Genome-fragment	22.19	AAI-based (high-confidence)	0.0	1.0	
contig_100296	22133	No	NA	37	11	0	Low-quality	Genome-fragment	16.2	HMM-based (lower-bound)	0.0	1.0	
contig_100328	17363	No	NA	21	5	0	Low-quality	Genome-fragment	28.94	AAI-based (high-confidence)	0.0	1.0	
contig_100340	4364	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100342	4773	No	NA	10	2	0	Low-quality	Genome-fragment	6.94	HMM-based (lower-bound)	0.0	1.0	
contig_100345	2898	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100346	4729	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100350	3742	No	NA	5	1	0	Low-quality	Genome-fragment	1.5	HMM-based (lower-bound)	0.0	1.0	
contig_100351	35708	No	NA	52	19	0	Medium-quality	Genome-fragment	55.24	AAI-based (medium-confidence)	0.0	1.0	
contig_100379	3229	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100380	4201	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100383	4377	No	NA	5	1	0	Low-quality	Genome-fragment	40.81	HMM-based (lower-bound)	0.0	1.04	
contig_100422	7446	No	NA	10	3	0	Low-quality	Genome-fragment	10.43	HMM-based (lower-bound)	0.0	1.0	
contig_100443	8487	No	NA	19	5	0	Low-quality	Genome-fragment	1.74	HMM-based (lower-bound)	0.0	1.02	
contig_100445	10703	No	NA	20	4	0	Low-quality	Genome-fragment	16.46	AAI-based (high-confidence)	0.0	1.02	
contig_100448	9692	No	NA	47	0	0	Not-determined	Genome-fragment	NA	NA	0.0	2.55	no viral genes detected; high kmer_freq may indicate large duplication
contig_100453	11595	No	NA	18	10	0	Low-quality	Genome-fragment	17.25	HMM-based (lower-bound)	0.0	1.0	
contig_100454	4372	No	NA	8	1	0	Low-quality	Genome-fragment	6.43	HMM-based (lower-bound)	0.0	1.01	
contig_100455	11539	No	NA	14	3	0	Low-quality	Genome-fragment	16.66	HMM-based (lower-bound)	0.0	1.0	
contig_100472	48328	No	NA	74	14	0	Medium-quality	Genome-fragment	84.09	AAI-based (high-confidence)	0.0	1.0	
contig_100493	13938	No	NA	15	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.12	no viral genes detected
contig_100541	3287	No	NA	22	0	0	Not-determined	Genome-fragment	NA	NA	0.0	10.18	no viral genes detected; high kmer_freq may indicate large duplication
contig_100550	6465	No	NA	19	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100624	6394	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100625	5182	No	NA	9	2	0	Low-quality	Genome-fragment	8.59	AAI-based (high-confidence)	0.0	1.01	
contig_100626	19282	No	NA	39	9	0	Low-quality	Genome-fragment	29.45	AAI-based (medium-confidence)	0.0	1.0	
contig_100641	10448	No	NA	5	1	2	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.03	contig >1.5x longer than expected genome length
contig_100646	3335	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0.0	3.17	no viral genes detected; high kmer_freq may indicate large duplication
contig_100672	11541	No	NA	11	3	0	Low-quality	Genome-fragment	16.47	HMM-based (lower-bound)	0.0	1.0	
contig_100674	4524	No	NA	1	1	0	Low-quality	Genome-fragment	6.58	HMM-based (lower-bound)	0.0	1.0	
contig_100698	3238	No	NA	8	0	0	Low-quality	Genome-fragment	4.81	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_100700	37742	No	NA	62	16	0	Medium-quality	Genome-fragment	61.61	AAI-based (high-confidence)	0.0	1.0	
contig_100702	32187	No	NA	39	9	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.61	high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length
contig_100733	5850	No	NA	16	2	0	Low-quality	Genome-fragment	14.09	AAI-based (medium-confidence)	0.0	1.0	
contig_100737	97641	No	NA	106	16	0	Medium-quality	Genome-fragment	84.7	AAI-based (high-confidence)	0.0	1.0	
contig_100739	9603	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100742	29463	No	NA	62	1	0	Low-quality	Genome-fragment	17.62	HMM-based (lower-bound)	0.0	1.11	
contig_100765	8189	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.35	no viral genes detected
contig_100766	3508	No	NA	7	0	0	Low-quality	Genome-fragment	5.63	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_100767	4265	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_100805	4828	No	NA	20	3	0	Low-quality	Genome-fragment	8.8	AAI-based (high-confidence)	0.0	1.0	
contig_100806	6449	No	NA	21	3	0	Low-quality	Genome-fragment	11.76	AAI-based (high-confidence)	0.0	1.0	
