HMM,Hit_Protein_ID,Genomic_Location,E-value,barcode01,barcode02,barcode03,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,control_barcode04
RM__Type_I_S_01.hmm,c_000000001804_1,c_000000001804:61-1776,1.00e-29,7.268889299177308e-05,0.0,9.165724315635465e-05,0.0,0.0,0.00023802269784446646,0.0,4.119386409155583e-05,0.0002757504375814757,0.0,0.0002500060938985388,0.0,0.0009035300920697165,0.0
RM__Type_I_S_01.hmm,c_000000001804_1,c_000000001804:61-1776,4.20e-60,7.268889299177308e-05,0.0,9.165724315635465e-05,0.0,0.0,0.00023802269784446646,0.0,4.119386409155583e-05,0.0002757504375814757,0.0,0.0002500060938985388,0.0,0.0009035300920697165,0.0
RM__Type_I_S_01.hmm,c_000000076993_35,c_000000076993:35958-37166,2.90e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024128163288379117,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000076993_35,c_000000076993:35958-37166,1.60e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024128163288379117,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000028623_11,c_000000028623:10150-11820,2.10e-12,0.00014537778598354615,0.0,5.3466725174540215e-05,0.0,0.00033630854290960703,0.00037403566804130445,0.0,0.0,0.0003102192422791601,0.0,6.25015234746347e-05,0.001189513251177618,0.0,0.0
RM__Type_I_S_01.hmm,c_000000028623_11,c_000000028623:10150-11820,5.90e-50,0.00014537778598354615,0.0,5.3466725174540215e-05,0.0,0.00033630854290960703,0.00037403566804130445,0.0,0.0,0.0003102192422791601,0.0,6.25015234746347e-05,0.001189513251177618,0.0,0.0
RM__Type_I_S_01.hmm,c_000000066831_5,c_000000066831:3862-5127,2.60e-31,0.0,0.0,0.0001833144863127093,0.0002314236255750877,0.0,0.00017001621274604747,0.0,0.0,0.00020681282818610673,0.0,0.0002500060938985388,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000066831_5,c_000000066831:3862-5127,5.00e-26,0.0,0.0,0.0001833144863127093,0.0002314236255750877,0.0,0.00017001621274604747,0.0,0.0,0.00020681282818610673,0.0,0.0002500060938985388,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000082091_8,c_000000082091:10681-11922,5.20e-57,0.0,0.0,1.5276207192725776e-05,0.0,0.0,0.00020401945529525695,0.0,0.0,6.893760939536892e-05,0.0,0.0001250030469492694,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000087842_15,c_000000087842:10639-11937,1.20e-24,0.0,0.0,0.00014512396833089487,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.00013787521879073784,0.0,0.00043751066432244287,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000087842_15,c_000000087842:10639-11937,2.20e-24,0.0,0.0,0.00014512396833089487,0.0,0.0,6.800648509841898e-05,0.0,0.0,0.00013787521879073784,0.0,0.00043751066432244287,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000032671_25,c_000000032671:19296-20495,1.20e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875045704239041,0.0,0.003614120368278866,0.0
RM__Type_I_S_01.hmm,c_000000032671_25,c_000000032671:19296-20495,1.30e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875045704239041,0.0,0.003614120368278866,0.0
RM__Type_I_S_01.hmm,c_000000066913_20,c_000000066913:14168-15550,1.60e-32,0.0,0.0,3.819051798181444e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,3.446880469768446e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000066913_20,c_000000066913:14168-15550,1.30e-16,0.0,0.0,3.819051798181444e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,3.446880469768446e-05,0.0,6.25015234746347e-05,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000069290_7,c_000000069290:7412-8575,1.10e-48,0.0,0.0,3.819051798181444e-05,0.0,0.0,0.0,0.0,0.0,0.00013787521879073784,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000069297_5,c_000000069297:4483-5841,2.70e-47,0.0,0.0,6.8742932367266e-05,0.0,0.0,0.0012581199743207513,0.0,0.0,0.0004480944610698979,0.0,6.25015234746347e-05,0.0,0.001807060184139433,0.0
RM__Type_I_S_01.hmm,c_000000069291_7,c_000000069291:7923-9170,4.10e-45,0.0,0.0,5.3466725174540215e-05,0.0,0.0,0.0006120583658857709,0.0,0.0,0.00013787521879073784,0.0,0.000812519805170251,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000092872_39,c_000000092872:38220-39491,5.50e-44,0.0,0.0,0.0,0.0,0.0,0.00013601297019683796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000070583_21,c_000000070583:20535-21761,1.00e-42,0.0,0.0,0.0005728577697272166,0.0,0.0,0.0022442140082478265,0.00039020278838912577,0.0,0.0012064081644189558,0.0,0.0008750213286448857,0.002379026502355236,0.0,0.0
RM__Type_I_S_01.hmm,c_000000070582_15,c_000000070582:13275-14459,7.70e-42,7.268889299177308e-05,0.0,0.0004735624229744991,0.0,0.0,0.0009180875488286563,0.0,0.0,0.00024128163288379117,0.0,0.0006875167582209817,0.0,0.0,0.0
RM__Type_I_S_01.hmm,c_000000105215_4,c_000000105215:3104-4258,5.40e-22,0.0,0.0,3.055241438545155e-05,0.0,0.0,3.400324254920949e-05,0.0,0.0,6.893760939536892e-05,0.0,0.0003125076173731735,0.0,0.0,0.0
