contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
contig_100003	6884	NA	46804.34996389892	14.70803462778515	low	14.3604511639069	5	GCA_012950455.1	67.3	6.38	3.5800000000000005	8.85	1	1.0
contig_100016	5093	NA	NA	NA	NA	NA	0	NA	NA	NA	2.79	5.62	1	1.0
contig_100057	23788	NA	47977.68100898677	49.581387636355814	medium	7.42318358164892	264	GCA_012939185.1	38.05	35.49	40.17270493115696	61.29621252330739	10	1.0
contig_100093	4141	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_100130	3429	NA	54324.14706828077	6.312110148163105	low	14.8448260270765	10	DTR_231844	40.9	27.56	1.7588526119402985	10.016837686567163	2	1.01
contig_100153	7760	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.03
contig_100158	18983	NA	64971.3205172302	29.2175068151274	high	2.19407429570282	26	DTR_283530	78.43	76.63	16.458848349063423	52.440305358005816	11	1.0
contig_100160	47880	NA	60602.56714914582	79.00655409888004	high	2.18777473499126	137	DTR_289513	71.94	34.53	48.004348303504685	78.58450674250743	10	1.0
contig_100161	47040	NA	64635.779888362005	72.77702857650486	medium	6.85704348576821	10	DTR_289513	56.45	36.98	45.49985075345945	75.67489980470133	11	1.0
contig_100166	7517	NA	45640.45559208058	16.4700371687445	high	3.30400430957084	9	DTR_274733	71.55	30.91	7.8917298578199055	16.458815165876775	2	1.0
contig_100168	19563	NA	56040.4588309978	34.90870775879349	high	3.70041314621697	7	GCA_012936535.1	75.85	25.4	26.748522180761146	45.446263962128	8	1.0
contig_100175	3251	NA	49543.63375805175	6.5618925246306805	medium	9.39323866118144	39	DTR_270059	67.58	19.04	NA	NA	0	1.0
contig_100176	3199	NA	45177.93496511396	7.080890267495056	low	12.9948120840075	35	DTR_891916	52.32	21.92	NA	NA	0	1.0
contig_100197	5098	NA	169442.21489222735	3.0086953261573868	low	26.9656238848579	3	DTR_112218	42.0	12.04	NA	NA	0	1.0
contig_100215	3232	NA	161283.03595565763	2.0039305317197713	high	3.62493958434026	26	GCA_020474765.1	50.86	53.79	1.4061643086293818	2.0815629573779217	4	1.0
contig_100227	4974	NA	64365.42827929119	7.727750957264003	high	3.249419193866	28	GCA_012949045.1	84.02	61.42	7.06	14.27	1	1.0
contig_100243	4385	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	5.32
contig_100254	21290	NA	35831.26483176946	59.417383393966645	high	3.72959866002097	11	DTR_249801	85.89	36.05	18.223413802786567	57.838700076453094	10	1.0
contig_100255	6085	NA	NA	NA	NA	NA	0	NA	NA	NA	3.7113966347325498	7.984227109520122	3	1.0
contig_100270	14063	NA	63388.13955777842	22.185538332737384	high	4.93210735010565	13	DTR_173284	55.12	43.41	20.056622580355786	35.05435990342875	3	1.0
contig_100296	22133	NA	43222.689862324696	51.20690098302363	low	22.3013900458853	67	GCA_012948075.1	60.8	5.35	16.204728660535178	37.526789340986255	5	1.0
contig_100328	17363	NA	59992.94210273261	28.9417377968685	high	2.31181875249672	13	DTR_888811	68.01	65.31	19.62331110809436	30.82378780457149	4	1.0
contig_100340	4364	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_100342	4773	NA	NA	NA	NA	NA	0	NA	NA	NA	6.94	10.82	1	1.0
contig_100345	2898	NA	36212.346818079146	8.00279532988777	low	14.8448260270765	4	DTR_232704	42.2	30.19	NA	NA	0	1.0
contig_100346	4729	NA	46416.1722205839	10.188259336694848	low	23.0547056367741	2	GCA_903233675.1	30.7	25.19	NA	NA	0	1.0
contig_100350	3742	NA	NA	NA	NA	NA	0	NA	NA	NA	1.5	8.89	1	1.0
contig_100351	35708	NA	64645.24994343668	55.23685039696466	medium	8.84651380439869	12	DTR_289513	47.94	58.71	32.57590217473029	58.58900501095349	10	1.0
contig_100379	3229	NA	49828.86981027229	6.480179085527517	low	14.855914629916	4	DTR_028868	51.9	16.72	NA	NA	0	1.0
contig_100380	4201	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_100383	4377	NA	9639.0	45.409274821039524	low	23.3177068073054	1	DTR_105891	27.6	19.5	40.81	99.43	1	1.04
contig_100422	7446	NA	61352.83172484333	12.136359138880502	low	13.0126738159548	154	DTR_662694	45.5	26.65	10.426522556390978	20.66937969924812	2	1.0
contig_100443	8487	NA	387847.1779938818	2.1882330158745877	low	25.5595308871383	17	GCA_000918955.1	29.5	13.81	1.7407780485969382	5.466589733930358	5	1.02
contig_100445	10703	NA	65024.65657860991	16.459910075896946	high	2.36926086153186	2	DTR_890651	99.79	61.68	7.570026771215822	18.89401085477712	3	1.02
contig_100448	9692	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	2.55
contig_100453	11595	NA	43276.26802494348	26.792975755942958	low	10.2824914415191	8	GCA_012950815.1	52.28	19.1	17.247369742311093	29.838362314970755	6	1.0
contig_100454	4372	NA	52479.15552325583	8.330926739212817	low	15.15892931936	14	DTR_249904	77.8	8.12	6.43	13.13	1	1.01
contig_100455	11539	NA	52550.496531581535	21.95792763454737	low	12.3244307299425	23	GCA_012954815.1	53.33	12.96	16.659086888473507	26.98692947570148	3	1.0
contig_100472	48328	NA	57471.0	84.09110681909137	high	2.58112980769231	1	DTR_891641	98.17	58.28	68.39542385536777	96.2349007562055	13	1.0
contig_100493	13938	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.12
contig_100541	3287	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	10.18
contig_100550	6465	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_100624	6394	NA	135402.35222121488	4.72222224733123	low	18.4087537011378	4	GCA_020474765.1	71.7	9.4	NA	NA	0	1.0
contig_100625	5182	NA	60344.07785343342	8.587420977061393	high	4.99964123970491	90	GCA_012955295.1	57.99	33.58	7.2108050089445435	14.598228980322004	2	1.01
contig_100626	19282	NA	65465.493182014005	29.453684777704446	medium	8.76998172438522	31	GCA_012936175.1	50.07	17.68	18.86256990497612	39.56814519289099	7	1.0
contig_100641	10448	NA	6670.835040839812	100.0	medium	5.44821583986075	3	DTR_051323	28.8	61.23	97.41	100.0	1	1.03
contig_100646	3335	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	3.17
contig_100672	11541	NA	96096.1767645395	12.009843043265327	low	10.6099941554355	51	DTR_236862	79.6	15.51	16.47	26.930000000000003	1	1.0
contig_100674	4524	NA	NA	NA	NA	NA	0	NA	NA	NA	6.579999999999999	10.25	1	1.0
contig_100698	3238	NA	67268.62423050539	4.813536826477287	high	3.98556948977839	8	DTR_269344	82.49	29.37	NA	NA	0	1.0
contig_100700	37742	NA	61264.004277775566	61.60550627555286	high	2.47694919644806	6	DTR_696700	67.26	21.48	28.49344194479472	64.50255118167027	11	1.0
contig_100702	32187	NA	18464.0	100.0	high	3.72516476874814	1	3300025508|Ga0208148_1000331	58.34	35.83	8.570272457353816	67.43809330462715	5	1.61
contig_100733	5850	NA	41530.00839070667	14.086199899032712	medium	7.02632877950927	30	GCA_016456175.1	57.81	29.73	8.074271012006863	17.364373927958837	2	1.0
contig_100737	97641	NA	115279.73543242304	84.69918813895711	high	4.00080860450321	13	DTR_117221	54.12	67.67	59.62662523576797	82.72289941949506	14	1.0
contig_100739	9603	NA	95829.67193820697	10.020904596430446	low	11.8293142109682	12	DTR_117221	32.42	39.12	NA	NA	0	1.0
contig_100742	29463	NA	27572.9033127889	100.0	low	25.0168993387215	2	DTR_893566	43.2	1.16	17.62	73.77	1	1.11
contig_100765	8189	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.35
contig_100766	3508	NA	62287.35340192087	5.631961880550567	high	4.05454545454545	2	GCA_012955245.1	58.39	57.35	NA	NA	0	1.0
contig_100767	4265	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_100805	4828	NA	54860.0	8.80058330295297	high	3.7212758660112	1	DTR_279250	72.92	42.57	2.4178760580319523	11.583817946832399	3	1.0
contig_100806	6449	NA	54860.0	11.755377324097703	high	3.23916066236885	1	DTR_279250	68.58	64.47	3.232468409085876	15.475002091881981	3	1.0
contig_100807	7797	NA	65545.41573033707	11.89556876422592	low	16.1277892551785	2	DTR_315637	46.0	12.94	NA	NA	0	1.0
contig_100809	5402	NA	64568.29572263213	8.366335117788342	high	3.88671588193675	12	DTR_315637	42.51	100.0	NA	NA	0	1.0
contig_100810	4981	NA	40470.09078363191	12.307854772627692	medium	7.95841548664635	20	DTR_893828	39.51	61.28	4.36411780474477	15.41186522460847	3	1.0
contig_100824	9738	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.15
contig_100828	58980	NA	60787.78064128641	97.02607888918618	high	2.24829364360329	40	DTR_889648	66.18	38.34	74.84998304819008	98.6683946645592	18	1.0
contig_100829	5548	NA	59875.28992456836	9.26592590530992	high	4.86692342125604	6	DTR_066770	55.44	100.0	NA	NA	0	1.0
contig_100840	4531	NA	62723.571910258055	7.223759524541655	high	3.75349832629095	5	DTR_888704	72.52	23.25	NA	NA	0	1.0
contig_100885	5409	NA	46498.71710048637	11.63257899849332	low	10.4596183917162	5	GCA_003498585.1	66.84	22.4	8.30110229731812	15.275584379040739	3	1.0
contig_100888	10683	NA	49646.24263021084	21.518244753328336	medium	5.6484015605893	11	DTR_256558	81.89	22.18	14.719999999999999	24.469999999999995	1	1.0
contig_100889	4963	NA	51077.0	9.716702233882177	medium	8.50356765363445	1	GCA_012950815.1	33.84	47.58	NA	NA	0	1.0
contig_100900	11573	NA	62972.747803915714	18.37779103436293	high	2.98738777255237	28	GCA_023617475.1	80.33	62.59	11.164002044916764	27.948973359474568	4	1.0
contig_101006	4237	NA	62505.470883594964	6.778606640514139	high	4.22279937397295	13	GCA_012955285.1	65.23	52.12	5.2506043956043955	10.597527472527473	2	1.0
contig_101017	23374	NA	61951.26179783207	37.729659286484384	low	12.5893824485374	3	DTR_893280	45.66	12.78	30.7191026827012	67.95166512488436	2	1.0
contig_101020	14500	NA	871729.0575482387	1.6633608659073083	low	27.4561384438116	30	3300020704|Ga0214250_1000002	36.77	10.38	1.1664930555555555	9.769618055555556	2	1.09
